Component ID,Page URL,Page,Section title,Type,Source,View,Stored fetch mode,readyToLoad,Resolved behaviour,Fix category,Recommended fix,Status,Assigned to,Date fixed,Notes
2257933,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,Neighboring Communities,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2100375,https://county_template.devmny.org/the_local_environment,the_local_environment,Overview,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2100376,https://county_template.devmny.org/the_local_environment,the_local_environment,Requirements,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2100626,https://county_template.devmny.org/the_plan,the_plan,Overview,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2100627,https://county_template.devmny.org/the_plan,the_plan,Requirements,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
1959579,https://county_template.devmny.org/the_plan/jurisdictional_annexes,the_plan/jurisdictional_annexes,Overview,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
1959580,https://county_template.devmny.org/the_plan/jurisdictional_annexes,the_plan/jurisdictional_annexes,Jurisdictional Annex Table,Spreadsheet,Jurisdictions,1346450,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2100787,https://county_template.devmny.org/track_progress,track_progress,Overview,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2100788,https://county_template.devmny.org/track_progress,track_progress,Requirements,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
1496710,https://county_template.devmny.org/pages,pages,Pages,Spreadsheet,src mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded,,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
1681719,https://county_template.devmny.org/sections,sections,(untitled Spreadsheet),Spreadsheet,src mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded+sections,,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2050872,https://county_template.devmny.org/track_progress/funding_sources,track_progress/funding_sources,(untitled Filter),Filter,Funding_Sources,1672381,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2050873,https://county_template.devmny.org/track_progress/funding_sources,track_progress/funding_sources,(untitled Card),Card,Funding_Sources,1672381,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2100807,https://county_template.devmny.org/track_progress/annual_maintenance,track_progress/annual_maintenance,Annual Maintenance Overview,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262432,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,(untitled Header: MNY Data),Header: MNY Data,Jurisdictions,,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262436,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,(untitled Card),Card,Jurisdictions,1346450,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262439,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,(untitled Card),Card,Jurisdictions,1346450,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262443,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,(untitled Card),Card,Jurisdictions,1346450,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262446,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Buildings,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262451,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,BUILDINGS BY LANDUSE,Spreadsheet,src 1651,2357,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262452,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Critical Buildings,Spreadsheet,src 1651,2357,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262455,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Infrastructure,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262464,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,(untitled Card),Card,Jurisdictions,1346450,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262466,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,(untitled Card),Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262470,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Disaster and Local Emergencies,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262471,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,(untitled Card),Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262476,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,NFIP Loss,Card,src 1558,2285,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262478,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Buildings in The Floodplain,Spreadsheet,src 1651,2357,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262479,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Critical Buildings in The Floodplain,Spreadsheet,src 1651,2357,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262489,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,(untitled Card),Card,Jurisdictions,1346450,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262493,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,(untitled Card),Card,Jurisdictions,1346450,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262496,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Actions Database,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262497,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Local Actions Database,Spreadsheet,Actions_Revised,1074456,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262498,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,(untitled Card),Card,Jurisdictions,1346450,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262505,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,(untitled Card),Card,Jurisdictions,1346450,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262506,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Capabilities Inventory,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262507,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,(untitled Spreadsheet),Spreadsheet,Capabilities_Catalogue,1172519,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262510,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Progress,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262513,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Completed Actions Table,Spreadsheet,Actions_Revised,1074456,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262516,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,(untitled Card),Card,Jurisdictions,1346450,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262517,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,In-Progress Actions Table,Spreadsheet,Actions_Revised,1074456,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2262520,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Proposed Actions Table,Spreadsheet,Actions_Revised,1074456,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2239656,https://county_template.devmny.org/the_risk/non_natural_hazards,the_risk/non_natural_hazards,Overview,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2239657,https://county_template.devmny.org/the_risk/non_natural_hazards,the_risk/non_natural_hazards,(untitled Card),Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2178595,https://county_template.devmny.org/the_risk/climate_change,the_risk/climate_change,(untitled Card),Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2178596,https://county_template.devmny.org/the_risk/climate_change,the_risk/climate_change,Hazards Impacted By Climate Change,Spreadsheet,Hazards_of_Concern,1473471,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2178597,https://county_template.devmny.org/the_risk/climate_change,the_risk/climate_change,(untitled Card),Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2178598,https://county_template.devmny.org/the_risk/climate_change,the_risk/climate_change,Climate Smart Communities,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2178599,https://county_template.devmny.org/the_risk/climate_change,the_risk/climate_change,(untitled Spreadsheet),Spreadsheet,src 1636,2331,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2178600,https://county_template.devmny.org/the_risk/climate_change,the_risk/climate_change,Regional Climate Assessment,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2178605,https://county_template.devmny.org/the_risk/disasters,the_risk/disasters,Presidential Declarations,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2178608,https://county_template.devmny.org/the_risk/disasters,the_risk/disasters,Declared Disasters,Spreadsheet,src 870,1648,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2178609,https://county_template.devmny.org/the_risk/disasters,the_risk/disasters,State Emergency Declarations,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2178612,https://county_template.devmny.org/the_risk/disasters,the_risk/disasters,Local Emergency Declarations,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2249222,https://county_template.devmny.org/the_risk/disasters/disaster_template,the_risk/disasters/disaster_template,PUBLIC ASSISTANCE (PA) for the County,Spreadsheet,src 372,1305,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2249223,https://county_template.devmny.org/the_risk/disasters/disaster_template,the_risk/disasters/disaster_template,Individual Assistance (IA) - County Damage Values,Spreadsheet,src 854,1379,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2249224,https://county_template.devmny.org/the_risk/disasters/disaster_template,the_risk/disasters/disaster_template,IA - Approved Assistance Amounts in the County,Spreadsheet,src 854,1379,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2249225,https://county_template.devmny.org/the_risk/disasters/disaster_template,the_risk/disasters/disaster_template,Small Business Administration (SBA) Disaster Loan Program - County Losses,Spreadsheet,src 88,1646,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2249226,https://county_template.devmny.org/the_risk/disasters/disaster_template,the_risk/disasters/disaster_template,NATIONAL FLOOD INSURANCE PROGRAM (NFIP) - County Claims,Spreadsheet,src 831,1304,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2249227,https://county_template.devmny.org/the_risk/disasters/disaster_template,the_risk/disasters/disaster_template,United States Department of Agriculture Crop Loss in the County,Spreadsheet,src 342,1197,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2374657,https://county_template.devmny.org/the_plan/strategies,the_plan/strategies,Overview,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2374660,https://county_template.devmny.org/the_plan/strategies,the_plan/strategies,Goals and Objectives,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2374661,https://county_template.devmny.org/the_plan/strategies,the_plan/strategies,(untitled Card),Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2374664,https://county_template.devmny.org/the_plan/strategies,the_plan/strategies,Action Development,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341172,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Overview,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341177,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Critical Buildings and Infrastructure,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341176,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,County Building Stock,Card,src 1117,1596,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341180,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Critical Buildings,Spreadsheet,src 1651,2357,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341181,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Infrastructure,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341184,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Water Infrastructure,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341187,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,(untitled Card),Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341188,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Transportation,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341191,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Energy,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341194,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Communications,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341197,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Buildings,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341200,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Buildings By Landuse Summary,Spreadsheet,src 1651,2357,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341201,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Buildings in The Floodplain by Jurisdiction,Spreadsheet,src 1651,2357,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341204,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,(untitled Card),Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341205,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Historic Buildings,Spreadsheet,src 1651,2357,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341207,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Changes in Development,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341211,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Codes and Enforcement,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341212,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,County and Local Building Codes,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341217,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,NFIP Table,Spreadsheet,src 831,1304,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341219,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Vulnerability,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2341221,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,(untitled Spreadsheet),Spreadsheet,R_and_V_Matrix,1068985,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2374675,https://county_template.devmny.org/the_plan/strategies,the_plan/strategies,Capacity To Implement,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2374676,https://county_template.devmny.org/the_plan/strategies,the_plan/strategies,(untitled Card),Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2374680,https://county_template.devmny.org/the_plan/strategies,the_plan/strategies,Local Funding Capabilities,Spreadsheet,Capabilities_Catalogue,1172519,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2374683,https://county_template.devmny.org/the_plan/strategies,the_plan/strategies,Implementation and Integration,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2374587,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,Planning and Regulatory,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2374588,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,State Mitigation Capabilities,Spreadsheet,Capabilities_Catalogue,1172519,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2374592,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,Local Capabilities Table,Spreadsheet,Capabilities_Catalogue,1172519,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2374593,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,Administrative and Technical,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
