Fix ID,Type,Type name,Tier,Fix category,Page URL,Page,Page ID,Section title,Draft section ID,Component kind,Config shape,Source,Current tags,What is wrong,Recommended fix,Status,Assigned to,Date fixed,User Relevance,User Notes,Notes
QA2-011,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/earthquake,the_risk/natural_hazards/earthquake,1544597,(untitled),1544538,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-446 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-012,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/earthquake,the_risk/natural_hazards/earthquake,1544597,(untitled),1544539,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-447 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-013,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/extreme_cold,the_risk/natural_hazards/extreme_cold,1544845,(untitled),1676743,Card,v2,Hazards_of_Concern,,"workbook row T5-477 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-014,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/extreme_cold,the_risk/natural_hazards/extreme_cold,1544845,(untitled),1544786,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-478 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-015,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/extreme_cold,the_risk/natural_hazards/extreme_cold,1544845,(untitled),1544787,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-479 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-016,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,1544969,(untitled),1676745,Card,v2,Hazards_of_Concern,,"workbook row T5-511 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-017,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,1544969,(untitled),1544910,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-512 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-018,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,1544969,(untitled),1544911,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-513 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-019,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,1450290,(untitled),1682901,Card,v2,Hazards_of_Concern,,"workbook row T5-539 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-020,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,1450290,(untitled),1682904,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-541 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-021,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,1450290,(untitled),1682906,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-542 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-022,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,1545093,(untitled),1676822,Card,v2,Hazards_of_Concern,,"workbook row T5-574 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-023,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,1545093,(untitled),1545034,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-575 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-024,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,1545093,(untitled),1545035,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-576 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-025,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,1545527,(untitled),1676867,Card,v2,Hazards_of_Concern,,"workbook row T5-636 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-026,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,1545527,(untitled),1602161,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-637 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-027,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,1545527,(untitled),1602162,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-638 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-028,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,1545651,(untitled),1676869,Card,v2,Hazards_of_Concern,,"workbook row T5-672 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-029,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,1545651,(untitled),1545592,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-673 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-030,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,1545651,(untitled),1545593,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-674 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-031,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/lightning,the_risk/natural_hazards/lightning,1545775,(untitled),1676871,Card,v2,Hazards_of_Concern,,"workbook row T5-702 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-032,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/lightning,the_risk/natural_hazards/lightning,1545775,(untitled),1545716,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-706 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-033,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/lightning,the_risk/natural_hazards/lightning,1545775,(untitled),1545717,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-822 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-034,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/snowstorm,the_risk/natural_hazards/snowstorm,1546774,(untitled),1676873,Card,v2,Hazards_of_Concern,,"workbook row T5-740 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-035,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/snowstorm,the_risk/natural_hazards/snowstorm,1546774,(untitled),1548811,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-741 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-036,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/snowstorm,the_risk/natural_hazards/snowstorm,1546774,(untitled),1548812,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-742 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-037,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/tornado,the_risk/natural_hazards/tornado,1545899,(untitled),1676875,Card,v2,Hazards_of_Concern,,"workbook row T5-765 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-038,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/tornado,the_risk/natural_hazards/tornado,1545899,(untitled),1545840,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-835 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-039,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/tornado,the_risk/natural_hazards/tornado,1545899,(untitled),1545841,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-768 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-040,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/wildfire,the_risk/natural_hazards/wildfire,1546087,(untitled),1676877,Card,v2,Hazards_of_Concern,,"workbook row T5-804 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-041,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/wildfire,the_risk/natural_hazards/wildfire,1546087,(untitled),1546028,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-805 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-042,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/wildfire,the_risk/natural_hazards/wildfire,1546087,(untitled),1546029,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-806 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-043,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/wind,the_risk/natural_hazards/wind,1546213,(untitled),1676879,Card,v2,Hazards_of_Concern,,"workbook row T5-821 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-044,2,No Data Fetch Mode,1,Component setting,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,State Mitigation Capabilities,1426488,Spreadsheet,v1,Capabilities_Catalogue,C1-a,"display.fetchMode absent; resolves to ""smart"" via the readyToLoad fallback","Section Settings > Data Fetch Mode = Force (always re-fetch) - internal DMS source, per the owner rule of 2026-08-28.",Open,,,relevant,requires fetch mode update to force re-fetch,"Stored as v1 (sourceInfo), so scan_fetchmode.mjs never selected it. The admin shows it as v2 because of the read-time adapter."
QA2-045,2,No Data Fetch Mode,1,Component setting,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,1426493,Spreadsheet,v1,Capabilities_Catalogue,C1-a,"display.fetchMode absent; resolves to ""smart"" via the readyToLoad fallback","Section Settings > Data Fetch Mode = Force (always re-fetch) - internal DMS source, per the owner rule of 2026-08-28.",Open,,,relevant,requires fetch mode update to force re-fetch,"Stored as v1 (sourceInfo), so scan_fetchmode.mjs never selected it. The admin shows it as v2 because of the read-time adapter."
