Logical key,Domain,Page,Page URL,Section title,Component kind,Hidden from view,Section ID (county_template),Link (county_template),Section ID (schenectady_draft_test),Link (schenectady_draft_test),Section ID (nassautest),Link (nassautest),trackingId,Source,Config shape,Data fetch mode,Tags,Geoid filters,Other filters,Meta freshness,County-authored,County-specific text type,Authored text status,Dataset text differs,Match tier,Deviation count,Deviations across patterns,Verdict,Status,Assigned to,Notes
auth_test_page#0|lexical,schenectady_draft_test,auth_test_page,/edit/auth_test_page,(untitled),lexical,no,,,2436893,https://schenectady_draft_test.devmny.org/edit/auth_test_page#2436893,,,989ef269-2824-499b-8c4d-4beb6bf2d19c,,,not set,,,,,FALSE,,present,,unmatched - one pattern only,,,not in every pattern,,,
746fa468-b9a1-41c0-9879-e56820481f8a|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),lexical,yes,2011171,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011171,2438982,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2438982,2423057,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423057,746fa468-b9a1-41c0-9879-e56820481f8a,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
2dbcfb38-a9f3-4944-841b-ccddb0ea0fb1|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),lexical,yes,2011175,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011175,2439015,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2439015,2423052,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423052,2dbcfb38-a9f3-4944-841b-ccddb0ea0fb1,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
6cda3d4e-707d-4d95-9b2a-82328c9b840c|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),lexical,yes,2011179,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011179,2439012,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2439012,2423029,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423029,6cda3d4e-707d-4d95-9b2a-82328c9b840c,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
0cd8d73d-ae0a-4165-9c67-879fd9a2e0d8|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),lexical,yes,2011182,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011182,2439004,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2439004,2423056,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423056,0cd8d73d-ae0a-4165-9c67-879fd9a2e0d8,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
21e3a458-a1f2-4a4f-96f7-e5f8d749a984|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),Card,no,2011184,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011184,2438981,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2438981,2423017,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423017,21e3a458-a1f2-4a4f-96f7-e5f8d749a984,LHMP_IA,DEVIATION,DEVIATION,DEVIATION,,top_nav_section=Local Environment ; page=Built Environment ; section=Critical Buildings and Infrastructure ; component_name=High Hazard Dams,current,FALSE,,none,no,A - trackingId + page,3,fetch mode; tags; config shape,lag - propagate from template,,,
642cd49d-8b7e-4330-aa53-6e6cd4d47558|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),lexical,yes,2011186,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011186,2439008,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2439008,2423078,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423078,642cd49d-8b7e-4330-aa53-6e6cd4d47558,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
b872faee-a43c-4496-bf22-3cf7e6ce6945|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),lexical,yes,2011189,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011189,2439013,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2439013,2423062,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423062,b872faee-a43c-4496-bf22-3cf7e6ce6945,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
725539ac-4a1c-4f80-9e1d-da376befb83d|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),lexical,yes,2011192,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011192,2439018,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2439018,2423089,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423089,725539ac-4a1c-4f80-9e1d-da376befb83d,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
fac92966-e7dc-4d13-95f8-37d9058753d0|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),lexical,yes,2011195,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011195,2438964,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2438964,2423071,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423071,fac92966-e7dc-4d13-95f8-37d9058753d0,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
963fa665-3ddc-4f5a-b970-0a6d24bcd33c|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),lexical,yes,2011199,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011199,2439032,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2439032,2423021,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423021,963fa665-3ddc-4f5a-b970-0a6d24bcd33c,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
e925d487-4363-4b80-a01b-9b77e0ab0382|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),Card,no,2011201,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011201,2438937,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2438937,2423045,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423045,e925d487-4363-4b80-a01b-9b77e0ab0382,LHMP_IA,DEVIATION,DEVIATION,DEVIATION,,top_nav_section=Local Environment ; page=Built Environment ; section=Buildings ; component_name=Historic Properties in NYS,DEVIATION,FALSE,,none,no,A - trackingId + page,4,fetch mode; tags; snapshot generation; config shape,lag - propagate from template,,,
746cb275-3a62-4dc4-9f13-a7da66fe62fe|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),lexical,yes,2011203,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011203,2438993,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2438993,2423047,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423047,746cb275-3a62-4dc4-9f13-a7da66fe62fe,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
50ae5b37-c31c-4eac-b035-169c2afedcca|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),lexical,yes,2011210,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011210,2439067,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2439067,2423058,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423058,50ae5b37-c31c-4eac-b035-169c2afedcca,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
38e75ff6-18cd-4657-841e-f78a398c442a|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),lexical,yes,2011212,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011212,2439075,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2439075,2423138,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423138,38e75ff6-18cd-4657-841e-f78a398c442a,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
ebc2d586-bf59-4999-9ee3-bbb50e113062|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),Spreadsheet,no,2011218,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011218,2439073,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2439073,2423063,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423063,ebc2d586-bf59-4999-9ee3-bbb50e113062,R_and_V_Matrix,DEVIATION,DEVIATION,DEVIATION,,"domain=Infrastructure, Buildings/Buildings/Infrastructure",current,FALSE,,none,no,A - trackingId + page,3,fetch mode; tags; config shape,lag - propagate from template,,,
ac4cd87f-9f51-45e7-a412-773b43afc5a6|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),Header: MNY Data,no,2011219,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011219,2439044,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2439044,2423088,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423088,ac4cd87f-9f51-45e7-a412-773b43afc5a6,,v1,not set,,,,,FALSE,,none,no,A - trackingId + page,0,,identical,,,
2e505cc9-5214-4500-9c55-8d73bbda3c2e|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),Footer: MNY Footer,no,2011220,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011220,2439055,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2439055,2423095,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423095,2e505cc9-5214-4500-9c55-8d73bbda3c2e,,v1,not set,,,,,FALSE,,none,no,A - trackingId + page,0,,identical,,,
04b9dadf-aa42-4370-9a9b-2dd9fdfa8c60|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,Buildings,Card,no,2011194,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011194,2438961,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2438961,2423091,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423091,04b9dadf-aa42-4370-9a9b-2dd9fdfa8c60,LHMP_IA,v1,not set,B2-a,,top_nav_section=Local Environment ; page=Built Environment ; section=Buildings ; component_name=Buildings,current,FALSE,,none,no,A - trackingId + page,0,,identical,,,
24f57a35-3dff-498a-8927-6657cb42d45d|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,Buildings By Landuse Summary,Spreadsheet,no,2011197,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011197,2438997,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2438997,2423092,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423092,24f57a35-3dff-498a-8927-6657cb42d45d,BILD 2026 Simplified Draft V1,v1,not set,B2-a,"substring(bg_geoid,1,5) AS county_geoid[page:geoid]=36105 ; jurisdiction_geoid[page:geoid_juris]=",flood_zone=,unknown source,FALSE,,none,no,A - trackingId + page,0,,identical,,,
8b9a8a73-e2da-4f19-b46b-8327e13ce53a|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,Buildings in The Floodplain by Jurisdiction,Spreadsheet,no,2011198,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011198,2438986,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2438986,2423030,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423030,8b9a8a73-e2da-4f19-b46b-8327e13ce53a,BILD 2026 Simplified Draft V1,v1,not set,B2-a,"substring(bg_geoid,1,5) AS county_geoid[page:geoid]=36105 ; jurisdiction_geoid[page:geoid_juris]=",flood_zone=,unknown source,FALSE,,none,no,A - trackingId + page,0,,identical,,,
8c0264a3-ece9-4357-91dd-4da0a35679f3|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,Changes in Development,Card,no,2011204,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011204,2439019,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2439019,2423031,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423031,8c0264a3-ece9-4357-91dd-4da0a35679f3,LHMP_IA,v1,not set,E1-a,,top_nav_section=Local Environment ; page=Built Environment ; section=Buildings ; component_name=Changes in Development,current,FALSE,,none,no,A - trackingId + page,0,,identical,,,
