"Fix ID","Type","Type name","Family","Page","Page slug","Page ID","Component ID","Where stored","Current value","Change to","Why","Effort","Live today","Status","Assigned to","Date fixed","Notes"
"T1-017","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386433","group ""efacf490-f668-4098-88c2-117f74d4c405"" · published","component 2386433 — lexical","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-018","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386434","group ""efacf490-f668-4098-88c2-117f74d4c405"" · published","component 2386434 — lexical","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-019","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686707","group ""header"" · draft","component 1686707 — Header: Default Header","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-020","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686708","group ""3e786688-57d2-4b4c-aa98-381220382a1a"" · draft","component 1686708 — lexical","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-021","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686713","group ""1c1a2e18-1c88-4e64-ad59-d3d7d2d91fcb"" · draft","component 1686713 — lexical · ""Mitigation Measures""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-022","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686714","group ""1c1a2e18-1c88-4e64-ad59-d3d7d2d91fcb"" · draft","component 1686714 — Card on Mitigation_Measures · ""Mitigation Measures by Category""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-023","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686715","group ""cdff4236-17c0-4ddb-a8ee-e5a7f621484e"" · draft","component 1686715 — lexical · ""Policies""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-024","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686716","group ""cdff4236-17c0-4ddb-a8ee-e5a7f621484e"" · draft","component 1686716 — lexical","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-025","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686717","group ""cdff4236-17c0-4ddb-a8ee-e5a7f621484e"" · draft","component 1686717 — lexical · ""Number of Policies By Level of Government""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-026","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686718","group ""cdff4236-17c0-4ddb-a8ee-e5a7f621484e"" · draft","component 1686718 — Graph on Policy Database","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-027","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686719","group ""cdff4236-17c0-4ddb-a8ee-e5a7f621484e"" · draft","component 1686719 — Graph on Policy Database · ""Policies by Type""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-028","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686720","group ""9b890fb9-6ccc-44e2-b508-b91987f1aee0"" · draft","component 1686720 — lexical · ""Capabilities""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-029","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686721","group ""9b890fb9-6ccc-44e2-b508-b91987f1aee0"" · draft","component 1686721 — Card on Capabilities_Catalogue","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-030","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686722","group ""9b890fb9-6ccc-44e2-b508-b91987f1aee0"" · draft","component 1686722 — Card on Capabilities_Catalogue · ""Capabilities by Category""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-031","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686723","group ""44491ada-b716-4106-b143-2d6aae08b7b6"" · draft","component 1686723 — lexical · ""ACTIONS""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-032","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686724","group ""44491ada-b716-4106-b143-2d6aae08b7b6"" · draft","component 1686724 — Card on Actions_Revised","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-033","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686725","group ""44491ada-b716-4106-b143-2d6aae08b7b6"" · draft","component 1686725 — Card on Actions_Revised · ""Actions by Progress""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-034","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686726","group ""44491ada-b716-4106-b143-2d6aae08b7b6"" · draft","component 1686726 — Card on Actions_Revised · ""Actions by Category""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-035","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686727","group ""efacf490-f668-4098-88c2-117f74d4c405"" · draft","component 1686727 — lexical","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-036","1","Dropped sections — delete these component rows","Home","Home","/home","566463","1686728","group ""efacf490-f668-4098-88c2-117f74d4c405"" · draft","component 1686728 — lexical","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-037","1","Dropped sections — delete these component rows","Capabilities","edit_simple","/forms/capabilities/edit_simple","1696914","2386870","group ""4a9d8ef0-375e-4fb6-84e3-37448a87f4ab"" · published","component 2386870 — lexical","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-038","1","Dropped sections — delete these component rows","Capabilities","edit_simple","/forms/capabilities/edit_simple","1696914","1696912","group ""4a9d8ef0-375e-4fb6-84e3-37448a87f4ab"" · draft","component 1696912 — lexical","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T1-039","1","Dropped sections — delete these component rows","Capabilities","Capabilities","/forms/capabilities","1690288","2388986","group ""4a9d8ef0-375e-4fb6-84e3-37448a87f4ab"" · published","component 2388986 — lexical","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-040","1","Dropped sections — delete these component rows","Capabilities","Capabilities","/forms/capabilities","1690288","2380015","group ""4a9d8ef0-375e-4fb6-84e3-37448a87f4ab"" · draft","component 2380015 — lexical","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the draft copy left behind by the delete-section bug","db delete","no","","","",""
"T3-001","3","County and jurisdiction not carried as geoids","Capabilities","single_edit_new","/forms/capabilities/single_edit_new","2323522","2380143","section 2380143 · Card · column ""county""","surfaces the free-text county column ""county""","use the geoid-backed county column (geoid_county / county_geoid → DHSES_County_Database.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-002","3","County and jurisdiction not carried as geoids","Capabilities","single_edit_new","/forms/capabilities/single_edit_new","2323522","2380143","section 2380143 · Card · column ""jurisdiction""","surfaces the free-text jurisdiction column ""jurisdiction""","use geoid_juris (→ jurisdictions.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-003","3","County and jurisdiction not carried as geoids","Capabilities","view","/forms/capabilities/view","1692121","2388822","section 2388822 · Card · column ""county""","surfaces the free-text county column ""county""","use the geoid-backed county column (geoid_county / county_geoid → DHSES_County_Database.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-004","3","County and jurisdiction not carried as geoids","Capabilities","view","/forms/capabilities/view","1692121","2388822","section 2388822 · Card · column ""jurisdiction""","surfaces the free-text jurisdiction column ""jurisdiction""","use geoid_juris (→ jurisdictions.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-005","3","County and jurisdiction not carried as geoids","Hazards of Concern","hazards_of_concern","/forms/hazards_of_concern","1444290","2386876","section 2386876 · Spreadsheet · column ""jurisdiction""","surfaces the free-text jurisdiction column ""jurisdiction""","use geoid_juris (→ jurisdictions.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-006","3","County and jurisdiction not carried as geoids","Jurisdictional Annex Entry","jurisdictional_annex_entry_page","/forms/jurisdictional_annex_entry_page","2334433","2386438","section 2386438 · Filter · column ""(data->>'municipality_name') || ' (' || (data->>'municipality_type') || ')' as dhses_name""","surfaces the free-text jurisdiction column ""(data->>'municipality_name') || ' (' || (data->>'municipality_type') || ')' as dhses_name""","use geoid_juris (→ jurisdictions.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-007","3","County and jurisdiction not carried as geoids","Jurisdictional Annex Entry","jurisdictional_annex_entry_page","/forms/jurisdictional_annex_entry_page","2334433","2386439","section 2386439 · Card · column ""(data->>'municipality_name') || ' (' || (data->>'municipality_type') || ')' as dhses_name""","surfaces the free-text jurisdiction column ""(data->>'municipality_name') || ' (' || (data->>'municipality_type') || ')' as dhses_name""","use geoid_juris (→ jurisdictions.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-008","3","County and jurisdiction not carried as geoids","Jurisdictional Annex Entry","jurisdictional_annex_entry_page","/forms/jurisdictional_annex_entry_page","2334433","2386439","section 2386439 · Card · column ""municipality_name""","surfaces the free-text jurisdiction column ""municipality_name""","use geoid_juris (→ jurisdictions.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-009","3","County and jurisdiction not carried as geoids","Jurisdictional Annex Entry","jurisdictional_annex_entry_page","/forms/jurisdictional_annex_entry_page","2334433","2386454","section 2386454 · Spreadsheet · column ""county_name""","surfaces the free-text county column ""county_name""","use the geoid-backed county column (geoid_county / county_geoid → DHSES_County_Database.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-010","3","County and jurisdiction not carried as geoids","Jurisdictional Annex Entry","jurisdictional_annex_entry_page","/forms/jurisdictional_annex_entry_page","2334433","2386514","section 2386514 · Spreadsheet · column ""county""","surfaces the free-text county column ""county""","use the geoid-backed county column (geoid_county / county_geoid → DHSES_County_Database.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-011","3","County and jurisdiction not carried as geoids","Participation","participation","/forms/participation","1444280","2386881","section 2386881 · Spreadsheet · column ""jurisdiction""","surfaces the free-text jurisdiction column ""jurisdiction""","use geoid_juris (→ jurisdictions.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-012","3","County and jurisdiction not carried as geoids","Participation","participation","/forms/participation","1444280","2386881","section 2386881 · Spreadsheet · column ""county""","surfaces the free-text county column ""county""","use the geoid-backed county column (geoid_county / county_geoid → DHSES_County_Database.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-013","3","County and jurisdiction not carried as geoids","Participation","edit","/forms/participation/edit","1714399","2380076","section 2380076 · Spreadsheet · column ""county""","surfaces the free-text county column ""county""","use the geoid-backed county column (geoid_county / county_geoid → DHSES_County_Database.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-014","3","County and jurisdiction not carried as geoids","Participation","edit","/forms/participation/edit","1714399","2380076","section 2380076 · Spreadsheet · column ""jurisdiction""","surfaces the free-text jurisdiction column ""jurisdiction""","use geoid_juris (→ jurisdictions.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-015","3","County and jurisdiction not carried as geoids","Roles","single_edit","/forms/roles/single_edit","1444252","2380089","section 2380089 · Card · column ""county""","surfaces the free-text county column ""county""","use the geoid-backed county column (geoid_county / county_geoid → DHSES_County_Database.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-016","3","County and jurisdiction not carried as geoids","Roles","single_edit","/forms/roles/single_edit","1444252","2380089","section 2380089 · Card · column ""jurisdiction""","surfaces the free-text jurisdiction column ""jurisdiction""","use geoid_juris (→ jurisdictions.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-017","3","County and jurisdiction not carried as geoids","Roles","view","/forms/roles/view","1715650","2380086","section 2380086 · Card · column ""county""","surfaces the free-text county column ""county""","use the geoid-backed county column (geoid_county / county_geoid → DHSES_County_Database.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-018","3","County and jurisdiction not carried as geoids","Roles","view","/forms/roles/view","1715650","2380086","section 2380086 · Card · column ""geoid_county""","""geoid_county"" is geoid-backed but carries no mapped_options / meta_lookup, so it renders a raw geoid","add the meta lookup (keyAttribute geoid) so the label resolves","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-019","3","County and jurisdiction not carried as geoids","Roles","view","/forms/roles/view","1715650","2380086","section 2380086 · Card · column ""jurisdiction""","surfaces the free-text jurisdiction column ""jurisdiction""","use geoid_juris (→ jurisdictions.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T3-020","3","County and jurisdiction not carried as geoids","Home","home","/home","566463","2386400","section 2386400 · Card · column ""county""","surfaces the free-text county column ""county""","use the geoid-backed county column (geoid_county / county_geoid → DHSES_County_Database.geoid)","county and jurisdiction should travel as geoids (county → DHSES_County_Database.geoid, jurisdiction → geoid_juris → jurisdictions.geoid); a free-text alias cannot be joined or filtered reliably","column config","yes","","","",""
"T4-001","4","LHMP_IA text-box permissions on the annex page","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","2386511","section 2386511 · #76 · ""Progress""","no authPermissions on the section (inherits the page)","set authPermissions {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}} on the published AND draft copies","the other eight LHMP_IA boxes carry that grant; this one does not, so it is the only state-template box whose section chrome is ungated on a modal-capable build","section permissions","yes","","","",""
"T4-002","4","LHMP_IA text-box permissions on the annex page","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","2386439","section 2386439 · #4 · ""(untitled)""","restricted to LHMP Template Editor, but reads the Jurisdictions dataset (county-authored)","decide: keep the lock (display-only header) or drop it (county prose the planner must fill in)","a jurisdiction title card, display only — the lock is probably harmless but is inconsistent with the other Jurisdictions boxes","decision","yes","","","",""
"T4-003","4","LHMP_IA text-box permissions on the annex page","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","2386476","section 2386476 · #41 · ""Problem Areas""","restricted to LHMP Template Editor, but reads the Jurisdictions dataset (county-authored)","decide: keep the lock (display-only header) or drop it (county prose the planner must fill in)","Problem Areas is the county planner's own prose box — locking it to template editors keeps the intended author out","decision","yes","","","",""
"T4-004","4","LHMP_IA text-box permissions on the annex page","Jurisdictional Annex Entry","Jurisdictional Annex Entry Page","/forms/jurisdictional_annex_entry_page","2334433","2386487","section 2386487 · #52 · ""Strategy""","authPermissions {""users"":{},""groups"":{}} — an empty object","remove it, or fill it in","sectionMenu treats an empty permissions object as no permissions at all (isEmpty check), so it is a no-op that reads like a restriction","section permissions","no","","","",""
"T5-001","5","Behaviour found live that the config alone does not explain","Actions","Actions","/forms/actions","1686109","2380156","section 2380156 · Spreadsheet · filter leaf county_geoid","the list renders zero rows — no pagination label at all","make the county filter resolve: the page filter ""geoid"" has useSearchParams:false and an empty stored value, while the leaf filters county_geoid on it","verified live again on 2026-08-17, and carried unresolved from v1, v2 and v3. The Roles list on the same build renders 356 rows, so it is specific to this section.","filter config","yes","","","",""
"T5-002","5","Behaviour found live that the config alone does not explain","Actions","Actions","/forms/actions","1686109","2380154","section 2380154 · lexical button #1","the button labelled SEARCH navigates to /admin/forms/actions/card","relabel to CARDS, or point SEARCH at the search view","the LIST / SEARCH toggle actually toggles list ↔ cards; read from the rendered href","find-and-replace","yes","","","",""
"T5-003","5","Behaviour found live that the config alone does not explain","Forms hub","Forms","/forms","1336681","","6 family cards","the hub offers Actions, Capabilities, Hazards of Concern, High Hazard Dams, Participation and Roles","add a Jurisdictional Annex Entry card","the annex page is in the sidebar and is where the county template points, but nothing in the panel links to it","authoring","yes","","","",""
"T5-004","5","Behaviour found live that the config alone does not explain","Hazards of Concern","Hazards of Concern","/forms/hazards_of_concern","1444290","","row actions on every Hazards table (4 in scope)","Edit and Delete only — no View action, because the family has no view page","add a view page, or accept that hazards are edit-only","consistent within the family, but it is the only in-scope family with no read-only record view; the same holds for every Hazards table on the annex page","decision","yes","","","",""
