Fix ID,Disposition,Class,Class name,Tier,Fix category,Page URL,Page,Page ID,Section title,Draft section ID,Component kind,Config shape,Source,Current tags,What is wrong,Recommended fix,Status,Assigned to,Date fixed,Notes
QA2-535,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,County Capabilities Table,1685651,Spreadsheet,v2,Capabilities_Catalogue,"A1-a,A4-a","bound to Capabilities_Catalogue column whose live title is ""(Delete) FEMA - Administrative & Technical""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-536,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,Jurisdictional Resources and Capabilities,1685653,Spreadsheet,v2,Capabilities_Catalogue,"A1-a,A4-a","bound to Capabilities_Catalogue column whose live title is ""(Delete) FEMA - Planning & Regulatory""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-537,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,Jurisdictional Resources and Capabilities,1685653,Spreadsheet,v2,Capabilities_Catalogue,"A1-a,A4-a","bound to Capabilities_Catalogue column whose live title is ""(Delete) FEMA - Administrative & Technical""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-538,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,Jurisdictional Resources and Capabilities,1685653,Spreadsheet,v2,Capabilities_Catalogue,"A1-a,A4-a","bound to Capabilities_Catalogue column whose live title is ""(Delete) FEMA - Financial""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-539,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,2418307,Spreadsheet,v2,Capabilities_Catalogue,"C1-a,C2-a","bound to Capabilities_Catalogue column whose live title is ""(Delete) FEMA - Planning & Regulatory""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-540,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,2418422,Spreadsheet,v2,Capabilities_Catalogue,"C1-a,C2-a","bound to Capabilities_Catalogue column whose live title is ""(Delete) FEMA - Planning & Regulatory""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-541,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,1426515,Spreadsheet,v1,Capabilities_Catalogue,C1-a,"bound to Capabilities_Catalogue column whose live title is ""(Delete) FEMA - Planning & Regulatory""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-542,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,1426515,Spreadsheet,v1,Capabilities_Catalogue,C1-a,"bound to Capabilities_Catalogue column whose live title is ""(Delete) FEMA - Education/ Outreach""; column is hidden and used as a filter","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-543,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,State Mitigation Capabilities,1426542,Spreadsheet,v1,Capabilities_Catalogue,C1-a,"bound to Capabilities_Catalogue column whose live title is ""(Delete) FEMA - Financial""; column is hidden and used as a filter","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-544,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,2418453,Spreadsheet,v2,Capabilities_Catalogue,"C1-a,C2-a","bound to Capabilities_Catalogue column whose live title is ""(Delete) FEMA - Planning & Regulatory""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-545,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Local Actions Database,1440813,Spreadsheet,v2,Actions_Revised,"C4-b,H2,H3,C5-b","bound to Actions_Revised column whose live title is ""Hazards - (no flood, deprecated)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-546,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Completed Actions Table,2407717,Spreadsheet,v2,Actions_Revised,"H2,E2-b","bound to Actions_Revised column whose live title is ""Hazards - (no flood, deprecated)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-547,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,In Progress Actions Table,2407718,Spreadsheet,v2,Actions_Revised,"H2,E2-b","bound to Actions_Revised column whose live title is ""Hazards - (no flood, deprecated)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-548,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Proposed Actions Table,2407713,Spreadsheet,v2,Actions_Revised,"C4-a,C5-b,H2,H3,C4-b","bound to Actions_Revised column whose live title is ""Hazards - (no flood, deprecated)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-549,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,(untitled),2179714,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-550,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,(untitled),2179714,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-551,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/coastal_hazards,the_risk/natural_hazards/coastal_hazards,1544317,(untitled),2179715,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-552,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/coastal_hazards,the_risk/natural_hazards/coastal_hazards,1544317,(untitled),2179715,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-553,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/drought,the_risk/natural_hazards/drought,1545217,(untitled),2179717,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-554,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/drought,the_risk/natural_hazards/drought,1545217,(untitled),2179717,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-555,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/earthquake,the_risk/natural_hazards/earthquake,1544597,(untitled),2179719,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-556,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/earthquake,the_risk/natural_hazards/earthquake,1544597,(untitled),2179719,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-557,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/extreme_cold,the_risk/natural_hazards/extreme_cold,1544845,(untitled),1544839,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-558,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/extreme_cold,the_risk/natural_hazards/extreme_cold,1544845,(untitled),1544839,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-559,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,1544969,(untitled),2179720,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-560,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,1544969,(untitled),2179720,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-561,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,1450290,(untitled),2179634,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-562,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,1450290,(untitled),2179634,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-563,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,1545093,(untitled),2179722,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-564,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,1545093,(untitled),2179722,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-565,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,1545403,(untitled),2179716,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-566,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,1545403,(untitled),2179716,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-567,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,1545527,(untitled),2179723,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-568,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,1545527,(untitled),2179723,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-569,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,1545651,(untitled),2179725,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-570,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,1545651,(untitled),2179725,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-571,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/lightning,the_risk/natural_hazards/lightning,1545775,(untitled),2179726,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-572,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/lightning,the_risk/natural_hazards/lightning,1545775,(untitled),2179726,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-573,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/snowstorm,the_risk/natural_hazards/snowstorm,1546774,(untitled),2179727,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-574,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/snowstorm,the_risk/natural_hazards/snowstorm,1546774,(untitled),2179727,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-575,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/tornado,the_risk/natural_hazards/tornado,1545899,(untitled),2179729,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-576,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/tornado,the_risk/natural_hazards/tornado,1545899,(untitled),2179729,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-577,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/wildfire,the_risk/natural_hazards/wildfire,1546087,(untitled),2179730,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-578,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/wildfire,the_risk/natural_hazards/wildfire,1546087,(untitled),2179730,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-579,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/wind,the_risk/natural_hazards/wind,1546213,(untitled),2179731,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Proposed - deprecated""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-580,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_risk/natural_hazards/wind,the_risk/natural_hazards/wind,1546213,(untitled),2179731,Card,v2,Actions_Revised,"C4-a,C4-b","bound to Actions_Revised column whose live title is ""# Not Started - deprecated (dep)""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
QA2-078,Observation,O4,Source snapshot behind the live definition,,Not a defect,https://county_template.devmny.org/the_local_environment/natural_environment,the_local_environment/natural_environment,1300819,Overview,1703867,Card,v1,LHMP_IA,B2-a,component holds a 22-column snapshot of LHMP_IA,None. Recorded so the next sweep does not re-raise it.,Observation,,,Owner ruling 2026-09-01: does not result in data being displayed incorrectly or otherwise impact the site.
QA2-079,Observation,O4,Source snapshot behind the live definition,,Not a defect,https://county_template.devmny.org/the_local_environment/natural_environment,the_local_environment/natural_environment,1300819,Open Space Summary,1703870,Card,v1,LHMP_IA,B2-a,component holds a 22-column snapshot of LHMP_IA,None. Recorded so the next sweep does not re-raise it.,Observation,,,Owner ruling 2026-09-01: does not result in data being displayed incorrectly or otherwise impact the site.
QA2-080,Observation,O4,Source snapshot behind the live definition,,Not a defect,https://county_template.devmny.org/the_local_environment/natural_environment,the_local_environment/natural_environment,1300819,Community Rating System,1703879,Card,v1,LHMP_IA,"C1-a,A1-a",component holds a 22-column snapshot of LHMP_IA,None. Recorded so the next sweep does not re-raise it.,Observation,,,Owner ruling 2026-09-01: does not result in data being displayed incorrectly or otherwise impact the site.
