Fix ID,Type,Type name,Tier,Fix category,Scope,Page URL,Page,Section title,Component ID,Component kind,What is wrong,Recommended fix,Fix group,Status,Assigned to,Date fixed,Notes
T1-015,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Historic Occurrences,2384277,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-016,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Total Losses in $ by Year,2384285,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-017,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Total Losses in $ by Month,2384288,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-018,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Presidential Disaster Declarations,2384290,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-019,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Other Hazard Events,2384295,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-020,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Modeled Risk,2384307,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-021,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,People and Communities,2384317,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-022,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Natural Environment,2384320,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-023,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Strategies,2384324,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-024,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Capabilities,2384326,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-025,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Actions,2384331,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-026,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,Overview,2384545,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-027,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,General Vulnerability,2384554,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-028,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,(untitled Card),2384555,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-029,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,Historic Occurrences,2384558,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-030,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,People and Communities,2384594,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-031,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,Natural Environment,2384597,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-032,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,Actions,2384608,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-033,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,Overview,2384619,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-034,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,General Vulnerability,2384628,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-035,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,Potential Impacts,2384630,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-036,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,Historic Occurrences,2384632,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-037,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,Built Environment,2384664,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-038,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,People and Communities,2384667,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-039,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,Natural Environment,2384670,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-040,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,General Vulnerability,2384703,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-041,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,(untitled Card),2384704,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-042,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,Potential Impacts,2384705,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-043,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,Historic Occurrences,2384707,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-044,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,Built Environment,2384739,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-045,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,People and Communities,2384742,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-046,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,Natural Environment,2384745,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-047,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/lightning,the_risk/natural_hazards/lightning,Overview,2384769,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-048,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/lightning,the_risk/natural_hazards/lightning,Built Environment,2384814,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-049,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/lightning,the_risk/natural_hazards/lightning,General Vulnerability,2384778,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-050,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/lightning,the_risk/natural_hazards/lightning,(untitled Card),2384779,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-051,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/lightning,the_risk/natural_hazards/lightning,People and Communities,2384817,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-052,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/lightning,the_risk/natural_hazards/lightning,Natural Environment,2384820,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-053,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/snowstorm,the_risk/natural_hazards/snowstorm,Overview,2384844,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-054,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/tornado,the_risk/natural_hazards/tornado,Overview,2384918,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-055,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/snowstorm,the_risk/natural_hazards/snowstorm,General Vulnerability,2384852,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-056,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/snowstorm,the_risk/natural_hazards/snowstorm,(untitled Card),2384853,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-057,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/snowstorm,the_risk/natural_hazards/snowstorm,Historic Occurrences,2384856,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-058,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/snowstorm,the_risk/natural_hazards/snowstorm,Built Environment,2384888,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-059,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/snowstorm,the_risk/natural_hazards/snowstorm,People and Communities,2384891,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-060,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/snowstorm,the_risk/natural_hazards/snowstorm,Natural Environment,2384894,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-061,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/tornado,the_risk/natural_hazards/tornado,General Vulnerability,2384927,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-062,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/tornado,the_risk/natural_hazards/tornado,(untitled Card),2384928,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-063,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/tornado,the_risk/natural_hazards/tornado,Historic Occurrences,2384931,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-064,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/wildfire,the_risk/natural_hazards/wildfire,Overview,2384993,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
