Fix ID,Type,Type name,Tier,Fix category,Scope,Page URL,Page,Page ID,Page Relevance,Section title,Draft section ID,Draft section group ID,Draft section group name,Component kind,What is wrong,Recommended fix,Fix group,Status,Assigned to,Date fixed,Notes,Requirement,Requirement source (LHMP_IA row),LHMP_IA section,LHMP_IA component,Match basis,Confidence,Tag exempt,Draft tags (current),V1 published section ID,Draft ID basis
T5-012,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),(untitled lexical),2003768,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468253,Overview,Overview,"inherited from LHMP_IA component ""Overview"" (Overview / Card) [realigned (component re-created since QA)]",Medium,Hidden from view,,2257908,trackingId
T5-013,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),Local Context,2003769,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468292,Overview,Local Context,"LHMP_IA component ""Local Context"" (Overview / Rich Text) [realigned (component re-created since QA)]",High,,,2257909,trackingId
T5-014,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),Demographic Statistics,2003770,default,Group 1,Card on src 1482,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468291,Overview,Demographic Statistics,"LHMP_IA component ""Demographic Statistics"" (Overview / Card) [realigned (component re-created since QA)]",High,,,2257910,trackingId
T5-015,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),Population,2003772,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B2-a,1468296,Population,Population,"LHMP_IA component ""Population"" (Population / Rich Text) [realigned (component re-created since QA)]",High,Section title only,,2257911,trackingId
T5-016,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),(untitled lexical),2003774,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B2-a,1468297,Population,Populations at Highest Risk,"inherited from LHMP_IA component ""Populations at Highest Risk"" (Population / Card) [realigned (component re-created since QA)]",Medium,Hidden from view,,2257913,trackingId
T5-017,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),(untitled lexical),2003776,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B2-a,1468298,Population,Local Populations at Highest Risk,"inherited from LHMP_IA component ""Local Populations at Highest Risk"" (Population / Rich Text) [realigned (component re-created since QA)]",Medium,Hidden from view,,2257915,trackingId
T5-018,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),(untitled lexical),2003782,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B2-a,1468302,Population,Population Change and Hazard Risk,"inherited from LHMP_IA component ""Population Change and Hazard Risk"" (Population / Card) [realigned (component re-created since QA)]",Medium,Hidden from view,,2257921,trackingId
T5-019,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),Economic and Development Trends,2003785,default,Group 1,Card on LHMP_IA,tags (empty string),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686435,Economy and Development Trends,Economic and Development Trends,"LHMP_IA component ""Economic and Development Trends"" (Economy and Development Trends / Card) [realigned (component re-created since QA)]",,,,2257922,trackingId
T5-020,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),(untitled lexical),2003786,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B2-a,1468254,Population,Population Change,"inherited from LHMP_IA component ""Population Change"" (Population / Rich Text) [realigned (component re-created since QA)]",Medium,Hidden from view,,2257925,trackingId
T5-021,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),(untitled lexical),2003788,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B2-a,1468256,Economy and Development Trends,Local Context,"inherited from LHMP_IA component ""Local Context"" (Economy and Development Trends / Rich Text) [realigned (component re-created since QA)]",Medium,Hidden from view,,2257927,trackingId
T5-022,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),(untitled lexical),2003791,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B2-a,1468257,Governance Structure,Jurisdictions Map,"inherited from LHMP_IA component ""Jurisdictions Map"" (Governance Structure / Map) [realigned (component re-created since QA)]",Medium,Hidden from view,,2257930,trackingId
T5-023,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),Neighboring Communities,2003794,default,Group 1,Card on LHMP_IA,tags (empty string),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686436,Governance Structure,Neighboring Communities,"LHMP_IA component ""Neighboring Communities"" (Governance Structure / Card) [realigned (component re-created since QA)]",,,,2257933,trackingId
T5-024,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),(untitled lexical),2003795,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686436,Governance Structure,Neighboring Communities,"inherited from LHMP_IA component ""Neighboring Communities"" (Governance Structure / Card) [realigned (component re-created since QA)]",,Hidden from view,,2257934,trackingId
T5-026,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment,the_local_environment,1300804,(not labelled),(untitled lexical),1704148,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468647,Overview,Overview,"LHMP_IA section ""Overview"" (first section on the page) [realigned (component re-created since QA)]",Medium,Hidden from view,,2100374,trackingId
T5-027,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment,the_local_environment,1300804,(not labelled),Overview,1458917,default,Group 1,Card on LHMP_IA,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468647,Overview,Overview,"LHMP_IA component ""Overview"" (Overview / Card) [realigned (component re-created since QA)]",High,,,2100375,trackingId
T5-028,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment,the_local_environment,1300804,(not labelled),Requirements,1466561,default,Group 1,Card on LHMP_IA,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468648,Overview,Requirements,"LHMP_IA component ""Requirements"" (Overview / Card) [realigned (component re-created since QA)]",High,,,2100376,trackingId
T5-029,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment,the_local_environment,1300804,(not labelled),Executive Summary,1458921,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468649,Executive Summary,Executive Summary,"LHMP_IA component ""Executive Summary"" (Executive Summary / Rich Text) [realigned (component re-created since QA)]",High,,,2100377,trackingId
T5-030,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment,the_local_environment,1300804,(not labelled),(untitled lexical),1449270,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468649,Executive Summary,Executive Summary,"inherited from LHMP_IA component ""Executive Summary"" (Executive Summary / Rich Text) [realigned (component re-created since QA)]",Medium,,,2100379,trackingId
T5-031,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment,the_local_environment,1300804,(not labelled),(untitled lexical),1449264,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468649,Executive Summary,Executive Summary,"inherited from LHMP_IA component ""Executive Summary"" (Executive Summary / Rich Text) [realigned (component re-created since QA)]",Medium,,,2100380,trackingId
T5-032,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment,the_local_environment,1300804,(not labelled),(untitled lexical),1449266,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468649,Executive Summary,Executive Summary,"inherited from LHMP_IA component ""Executive Summary"" (Executive Summary / Rich Text) [realigned (component re-created since QA)]",Medium,,,2100382,trackingId
T5-033,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_plan,the_plan,1300808,(not labelled),(untitled lexical),1696691,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468650,Overview,Overview,"LHMP_IA section ""Overview"" (first section on the page)",Medium,Hidden from view,,2100625,positional
T5-034,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_plan,the_plan,1300808,(not labelled),Overview,1466590,default,Group 1,Card on LHMP_IA,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468650,Overview,Overview,"LHMP_IA component ""Overview"" (Overview / Card)",High,,,2100626,positional
T5-035,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_plan,the_plan,1300808,(not labelled),Requirements,1466593,default,Group 1,Card on LHMP_IA,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468652,Overview,Requirements,"LHMP_IA component ""Requirements"" (Overview / Card)",High,,,2100627,positional
T5-036,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_plan,the_plan,1300808,(not labelled),(untitled lexical),1450104,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468652,Overview,Requirements,"inherited from LHMP_IA component ""Requirements"" (Overview / Card)",Medium,,,2100628,positional
T5-037,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_plan,the_plan,1300808,(not labelled),(untitled lexical),1694887,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468652,Overview,Requirements,"inherited from LHMP_IA component ""Requirements"" (Overview / Card)",Medium,Hidden from view,,2100629,positional
T5-038,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_plan,the_plan,1300808,(not labelled),Executive Summary,1466596,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468653,Executive Summary,Executive Summary,"LHMP_IA component ""Executive Summary"" (Executive Summary / Card)",High,,,2100630,positional
T5-039,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_plan,the_plan,1300808,(not labelled),(untitled lexical),1450110,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468653,Executive Summary,Executive Summary,"inherited from LHMP_IA component ""Executive Summary"" (Executive Summary / Card)",Medium,,,2100632,positional
T5-042,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_plan/jurisdictional_annexes,the_plan/jurisdictional_annexes,1300933,Relevant,(untitled lexical),2380932,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,H2,1468559,Jurisdictional Annexes,Jurisdictional Annexes,"LHMP_IA section ""Jurisdictional Annexes"" (first section on the page)",Medium,Hidden from view,,1959578,trackingId
T5-043,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_plan/jurisdictional_annexes,the_plan/jurisdictional_annexes,1300933,Relevant,Overview,2380933,default,Group 1,Card on LHMP_IA,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,H2,1468559,Jurisdictional Annexes,Jurisdictional Annexes,"LHMP_IA section ""Jurisdictional Annexes"" (via ""Jurisdictional Annexes"")",Medium,,H2,1959579,trackingId
T5-044,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/track_progress,track_progress,1300909,(not labelled),(untitled lexical),2050839,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468654,Overview,Overview,"LHMP_IA section ""Overview"" (first section on the page)",Medium,Hidden from view,,2100786,positional
T5-045,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/track_progress,track_progress,1300909,(not labelled),Overview,1466574,default,Group 1,Card on LHMP_IA,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468654,Overview,Overview,"LHMP_IA component ""Overview"" (Overview / Card)",High,,,2100787,positional
T5-046,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/track_progress,track_progress,1300909,(not labelled),Requirements,1466577,default,Group 1,Card on LHMP_IA,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468655,Overview,Requirements,"LHMP_IA component ""Requirements"" (Overview / Card)",High,,,2100788,positional
T5-047,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/track_progress,track_progress,1300909,(not labelled),Executive Summary,1466580,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468656,Executive Summary,Executive Summary,"LHMP_IA component ""Executive Summary"" (Executive Summary / Card)",High,,,2100789,positional
T5-048,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/track_progress,track_progress,1300909,(not labelled),(untitled lexical),1450949,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468656,Executive Summary,Executive Summary,"inherited from LHMP_IA component ""Executive Summary"" (Executive Summary / Card)",Medium,,,2100791,positional
T5-049,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/pages,pages,1496458,(not labelled),Pages,1496876,default,Group 1,Spreadsheet on src mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,,,,page has no counterpart in LHMP_IA,,,,1496710,positional
T5-050,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/sections,sections,1496460,(not labelled),(untitled lexical),1496497,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,,,,page has no counterpart in LHMP_IA,,,,1681718,trackingId
T5-051,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/sections,sections,1496460,(not labelled),(untitled Spreadsheet),1496475,default,Group 1,Spreadsheet on src mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded+sections,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,,,,page has no counterpart in LHMP_IA,,,,1681719,trackingId
T5-052,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/track_progress/funding_sources,track_progress/funding_sources,1672376,(not labelled),(untitled lexical),2050867,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,,,,page has no counterpart in LHMP_IA,,Hidden from view,,2050871,positional
T5-053,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/track_progress/funding_sources,track_progress/funding_sources,1672376,(not labelled),(untitled Card),1672508,default,Group 1,Card on Funding_Sources,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,,,,page has no counterpart in LHMP_IA,,,,2050873,positional
T5-054,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/track_progress/annual_maintenance,track_progress/annual_maintenance,1609880,(not labelled),(untitled lexical),2050864,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1609890,Annual Maintenance Overview,Annual Maintenance Overview,"LHMP_IA section ""Annual Maintenance Overview"" (first section on the page)",,Hidden from view,,2100806,positional
T5-055,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/track_progress/annual_maintenance,track_progress/annual_maintenance,1609880,(not labelled),(untitled lexical),1695084,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1609890,Annual Maintenance Overview,Annual Maintenance Overview,"inherited from LHMP_IA component ""Annual Maintenance Overview"" (Annual Maintenance Overview / Card)",,Hidden from view,,2100808,positional
T5-056,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/track_progress/fema_plan_review_tool,track_progress/fema_plan_review_tool,2062126,(not labelled),(untitled lexical),2062617,b8efa1e2-ecb8-4098-9102-b33b73e90349,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,,,,page has no counterpart in LHMP_IA,,,,2062620,positional
T5-138,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment,the_local_environment,1300804,(not labelled),(untitled lexical),1449273,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468649,Executive Summary,Executive Summary,"inherited from LHMP_IA component ""Executive Summary"" (Executive Summary / Rich Text) [realigned (component re-created since QA)]",Medium,,,2100378,trackingId
