geoid,payload_row,existing_id,existing_row,score,j_action_name,j_description_of_the_problem,j_description_of_the_solutio,outcome
3618597,Harden or Upgrade Utilities to be Disaster-Resistant,1094185,Harden or Upgrade Utilities to be Disaster-Resistant,1.0,1.0,1.0,1.0,applied
3622876,Department of Public Works and Recreation Hardening,1094150,Department of Public Works and Recreation Hardening,1.0,1.0,1.0,1.0,applied
3622876,Fire Department Flooding Action Plan,1094149,Fire Department Flooding Action Plan,1.0,1.0,1.0,1.0,applied
3622876,First Avenue Check valves,1094148,First Avenue Check valves,1.0,1.0,1.0,1.0,applied
3622876,Generator Installation at Four East Rockaway Schools,1094147,Generator Installation at Four East Rockaway Schools,1.0,1.0,1.0,1.0,applied
3622876,Lawson Ave Drainage Project,1094146,Lawson Ave Drainage Project,1.0,1.0,1.0,1.0,applied
3626352,Generator Reliability,1094087,Generator Reliability,1.0,1.0,1.0,1.0,applied
3626352,Power reliability,1094086,Power reliability,1.0,1.0,1.0,1.0,applied
3628178,Catch basin drainage structure design and replacement.,1094027,Catch basin drainage structure design and replacement,1.0,1.0,1.0,1.0,applied
3633139,Generator Installation - East End Fire House,1093836,Generator Installation - East End Fire House,1.0,1.0,1.0,1.0,applied
3633139,Generator Installation - Kennedy Memorial Park,1093834,Generator Installation - Kennedy Memorial Park,1.0,1.0,1.0,1.0,applied
3633139,Generator Installation - Victory Fire House,1093835,Generator Installation - Victory Fire House,1.0,1.0,1.0,1.0,applied
3633139,Generator Installation - Weir Street Fire Facility,1093827,Generator Installation - Weir Street Fire Facility,1.0,1.0,1.0,1.0,applied
3633139,Generator Installation - West End Fire House,1093826,Generator Installation - West End Fire House,1.0,1.0,1.0,1.0,applied
3633139,Generator Replacement - Jerusalem Ave. Fire House,1093831,Generator Replacement  - Jerusalem Ave. Fire House,1.0,1.0,1.0,1.0,applied
3633139,Generator Replacement -Headquarters Fire House,1093830,Generator Replacement  -Headquarters Fire House,1.0,1.0,1.0,1.0,applied
3633139,Generator Replacement - Southside Fire House,1093829,Generator Replacement - Southside Fire House,1.0,1.0,1.0,1.0,applied
3637847,"Rebuild existing infrastructure, including drainage, bulkhead outfalls, and roadway elevat",1093945,"Rebuild existing infrastructure, including drainage, bulkhead outfalls, and roadway elevat",1.0,1.0,1.0,1.0,applied
3637847,"Bulkhead replacement at ""Little Beach""",1093950,"Bulkhead replacement at ""Little Beach""",1.0,1.0,1.0,1.0,applied
3637847,Resiliency and Hardening Emergency Management Center at Island Park Fire Department (IPFD),1093949,Resiliency and Hardening Emergency Management Center at Island Park Fire Department (IPFD),1.0,1.0,1.0,1.0,applied
3643335,Annual Event to promote Disaster Resistant Development,1099728,Annual Event to promote Disaster Resistant Development,1.0,1.0,1.0,1.0,applied
3643335,Drainage Improvement Project (GOSR),1099720,Drainage Improvement Project (GOSR),1.0,1.0,1.0,1.0,applied
3643335,Dry Flood Proofing Municipal Building Complex (PW-04066),1099719,Dry Flood Proofing Municipal Building Complex (PW-04066),1.0,1.0,1.0,1.0,applied
3643335,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),1099718,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),1.0,1.0,1.0,1.0,applied
3643335,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),1099717,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),1.0,1.0,1.0,1.0,applied
3643335,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",1099716,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",1.0,1.0,1.0,1.0,applied
3643335,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),1099715,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),1.0,1.0,1.0,1.0,applied
3643335,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),1099714,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),1.0,1.0,1.0,1.0,applied
3643335,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),1099727,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),1.0,1.0,1.0,1.0,applied
3643335,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),1099726,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),1.0,1.0,1.0,1.0,applied
3643335,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),1099725,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),1.0,1.0,1.0,1.0,applied
3643335,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),1099724,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),1.0,1.0,1.0,1.0,applied
3643335,Install Check Valves for Critical Infrastructure,1099723,Install Check Valves for Critical Infrastructure,1.0,1.0,1.0,1.0,applied
3643874,Fire Station Emergency Generator,1093923,Fire Station Emergency Generator,1.0,1.0,1.0,1.0,applied
3643874,Police Station Emergency Generator,1093922,Police Station Emergency Generator,1.0,1.0,1.0,1.0,applied
3643874,Harden and Upgrade Cable Towers N53 and N54 to be Disaster-Resistant,1093924,Harden and Upgrade Cable Towers N53 and N54 to be Disaster-Resistant,1.0,1.0,1.0,1.0,applied
3644787,Tree Maintenance Program,1093890,Tree Maintenance Program,1.0,1.0,1.0,1.0,applied
3644787,Flood Reduction,1093882,Flood Reduction,1.0,1.0,1.0,1.0,applied
3644787,Snow Removal Program,1093881,Snow Removal Program,1.0,1.0,1.0,1.0,applied
3645106,Manorhaven Sewer Restoration Project - Phase I-C,1093892,Manorhaven Sewer  Restoration Project - Phase I-C,1.0,1.0,1.0,1.0,applied
3645997,Massapequa Park Flood Diversion,1093862,Massapequa Park Flood Diversion,1.0,1.0,1.0,1.0,applied
3645997,Park Lane Housing Development,1093867,Park Lane Housing Development,1.0,1.0,1.0,1.0,applied
3646107,Beaver Brook Drainage Improvements,1093869,Beaver Brook Drainage Improvements,1.0,1.0,1.0,1.0,applied
3646107,Thorne Lane Drainage Improvements,1093868,Thorne Lane Drainage Improvements,1.0,1.0,1.0,1.0,applied
3647405,Cleft Road Electrical Utility Underground,1093873,Cleft Road Electrical Utility Underground,1.0,1.0,1.0,1.0,applied
3647405,Power Generator for sustainment to Village Garage/Town Hall,1093872,Power Generator for sustainment to Village Garage/Town Hall,1.0,1.0,1.0,1.0,applied
3647405,Stormwater Pump Causeway,1093871,Stormwater Pump Causeway,1.0,1.0,1.0,1.0,applied
3647405,Wetlands Perseveration,1093870,Wetlands Perseveration,1.0,1.0,1.0,1.0,applied
3647636,Well 4 generator,1093885,Well 4 Generator,1.0,1.0,1.0,1.0,applied
3649231,Road Improvement Project,1093863,Road Improvement Project,1.0,1.0,1.0,1.0,applied
3649231,Tree Program,1093866,Tree Program,1.0,1.0,1.0,1.0,applied
3649231,Hazard Risk Awareness Outreach and Education,1093865,Hazard Risk Awareness Outreach and Education,1.0,1.0,1.0,1.0,applied
3649330,Catch Basin Midlane South,1093855,Catch Basin Midlane South,1.0,1.0,1.0,1.0,applied
3653022,Tree Maintenance Program,1093849,Tree Maintenance Program,1.0,1.0,1.0,1.0,applied
3656011,Village Shoreline Protection,1093842,Village Shoreline Protection,1.0,1.0,1.0,1.0,applied
3656011,Tree Maintenance Program,1093841,Tree maintenance program,1.0,1.0,1.0,1.0,applied
3664232,Catch basin replacement/ reconstruct,1093758,Catch basin replacement/ reconstruct,1.0,1.0,1.0,1.0,applied
3664232,Community Outreach Emergency Information Service,1093757,Community Outreach Emergency Information Service,1.0,1.0,1.0,1.0,applied
3664232,Swift 911,1093756,Swift 911,1.0,1.0,1.0,1.0,applied
3664232,Village Tree Preservation and Replacement,1093749,Village Tree Preservation and Replacement,1.0,1.0,1.0,1.0,applied
3665035,Hoffstot Lane,1093651,Hoffstot Lane,1.0,1.0,1.0,1.0,applied
3666047,Beach Protection/Jetty,1093701,Beach Protection/Jetty,1.0,1.0,1.0,1.0,applied
3666047,Boardwalk/Bulkheading,1093700,Boardwalk/Bulkheading,1.0,1.0,1.0,1.0,applied
3669023,Develop a Disaster Communications Plan,1093680,Develop a Disaster Communications Plan,1.0,1.0,1.0,1.0,applied
3671267,Hazard Risk Awareness Outreach and Education,1093648,Hazard Risk Awareness Outreach and Education,1.0,1.0,1.0,1.0,applied
3671267,Preventative Tree Maintenance Program,1093652,Preventative Tree Maintenance Program,1.0,1.0,1.0,1.0,applied
3682117,Tree Monitoring & Maintenance Program,1093467,Tree Monitoring & Maintenance Program,1.0,1.0,1.0,1.0,applied
3669023,Develop Tree Removal and Maintenance Program,1093678,Develop Tree Removal and Maintenance Program,0.979,1.0,0.929,1.0,applied
3605034,Bayville Fire Co. Flood Mitigation Project,1094232,Bayville Fire Co. Flood Mitigation Project,0.976,1.0,0.92,1.0,applied
3679444,Tree maintenance program,1093459,Tree maintenance program,0.975,1.0,1.0,0.917,applied
3669023,Establish Village Snow Removal Procedures,1093679,Establish Village Snow Removal Procedures,0.974,1.0,0.913,1.0,applied
3682986,Rockaway Hunting Club Bulkhead,1093520,Rockaway Hunting Club Bulkhead,0.973,1.0,0.909,1.0,applied
3645106,Force Main Replacement - Phase II - A & Phase II - B,1093888,Force Main Replacement - Phase II - A & Phase II - B,0.97,1.0,1.0,0.9,applied
3628178,Underground Power Lines,1094025,Underground Power Lines,0.967,1.0,0.889,1.0,applied
3643874,Develop tree maintenance standards for residential property,1093925,Develop tree maintenance standards for residential,0.933,0.833,1.0,1.0,applied
3653022,Hazard Risk and Risk Reduction Awareness Outreach and Education,1093844,Hazard Risk and Risk Reduction Awareness Outreach and Education  (Revised),0.933,0.833,1.0,1.0,applied
3665035,Critical Slope Reinforcement Initiative,1093643,Critical Slope Reinforcement Initiative (Revised),0.92,0.8,1.0,1.0,applied
3665035,Sands Point Bulkhead Replacement Project,1093650,Sands Point Bulkhead Replacement Project,0.91,1.0,1.0,0.7,applied
3613233,Storm water project,1094201,Storm Water Project,0.901,1.0,0.857,0.812,applied
3613233,Emergency generator,1094203,Emergency Generator,0.895,1.0,0.65,1.0,applied
3682986,Coastal Zoning District,1093524,Coastal Zoning District,0.895,1.0,0.833,0.818,applied
3633139,Generator Installation - East End Fire House,1093826,Generator Installation - West End Fire House,0.886,0.714,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - West End Fire House,1093836,Generator Installation - East End Fire House,0.886,0.714,1.0,1.0,REFUSED - discriminator conflict
3628178,George Farber Center Back Up Generator,1094026,George Farber Center Back Up Generator,0.88,1.0,1.0,0.6,applied
3610132,Tree Maintenance Program,1094251,Tree Maintenance Program (Revised),0.867,0.667,1.0,1.0,applied
3623217,Village Tree Maintenance Program,1094111,Village Tree Maintenance Program (Revised),0.867,0.667,1.0,1.0,applied
3633139,Generator Replacement -Headquarters Fire House,1093829,Generator Replacement - Southside Fire House,0.867,0.667,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Replacement - Southside Fire House,1093830,Generator Replacement  -Headquarters Fire House,0.867,0.667,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - East End Fire House,1093835,Generator Installation - Victory Fire House,0.829,0.571,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - Victory Fire House,1093826,Generator Installation - West End Fire House,0.829,0.571,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - Victory Fire House,1093836,Generator Installation - East End Fire House,0.829,0.571,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - West End Fire House,1093835,Generator Installation - Victory Fire House,0.829,0.571,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Replacement - Jerusalem Ave. Fire House,1093830,Generator Replacement  -Headquarters Fire House,0.829,0.571,1.0,1.0,skipped (already claimed)
3633139,Generator Replacement - Jerusalem Ave. Fire House,1093829,Generator Replacement - Southside Fire House,0.829,0.571,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Replacement -Headquarters Fire House,1093831,Generator Replacement  - Jerusalem Ave. Fire House,0.829,0.571,1.0,1.0,skipped (already claimed)
3633139,Generator Replacement - Southside Fire House,1093831,Generator Replacement  - Jerusalem Ave. Fire House,0.829,0.571,1.0,1.0,REFUSED - discriminator conflict
3682986,Implementation of first vision plan,1093523,Imlementaion of first vision plan,0.824,0.6,1.0,0.946,applied
3641432,Frost Creek Inlet Restoration,1093915,Frost Creek Inlet Restoration,0.817,1.0,0.389,1.0,applied
3643335,City of Long Beach Nassau County Waste Water Treatment Plant (WWTP) Diversion Project,1099721,City of Long Beach/Nassau County Waste Water Treatment Plant Diversion Project (FEMA 406 M,0.811,0.7,1.0,0.769,REFUSED - discriminator conflict
3633139,Preventative Tree Trimming Program,1093828,Preventative Tree Trimming Program,0.809,1.0,1.0,0.362,applied
3604803,Implementation of Continuity of Operations Plan,1094266,Implementation of Continuity of Operations Plan,0.806,1.0,1.0,0.353,applied
3682986,Woodmere Boulevard S. Drainage,1093519,Woodmere Boulevard S. Drainage,0.806,1.0,0.909,0.444,applied
3623217,Floodplain Administrator,1094113,Floodplain Administrator,0.8,1.0,0.333,1.0,applied
3605934000,Shoreline Projects,1095216,Shoreline Projects,0.797,1.0,1.0,0.323,applied
3649330,Remsens Lane Culvert,1093854,Remsen's Lane Culvert,0.79,0.5,1.0,0.966,applied
3669023,Comprehensive Preparedness/Disaster Plan,1093676,Comprehensive Preparedness/Disaster Plan,0.766,1.0,1.0,0.219,applied
3633139,Generator Installation - Victory Fire House,1093827,Generator Installation - Weir Street Fire Facility,0.75,0.375,1.0,1.0,skipped (already claimed)
3633139,Generator Installation - Weir Street Fire Facility,1093835,Generator Installation - Victory Fire House,0.75,0.375,1.0,1.0,skipped (already claimed)
3605034,Bury Utility Lines,1094230,Bury Utility Lines,0.743,1.0,0.143,1.0,applied
3605956000,Emergency Cell Phone Service,1095232,Emergency Cell Phone Service,0.743,1.0,0.143,1.0,applied
3647636,Well 1 generator,1093886,Well 1 Generator,0.743,1.0,1.0,0.143,applied
3633139,Generator Installation - East End Fire House,1093827,Generator Installation - Weir Street Fire Facility,0.733,0.333,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - Weir Street Fire Facility,1093826,Generator Installation - West End Fire House,0.733,0.333,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - Weir Street Fire Facility,1093836,Generator Installation - East End Fire House,0.733,0.333,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - West End Fire House,1093827,Generator Installation - Weir Street Fire Facility,0.733,0.333,1.0,1.0,REFUSED - discriminator conflict
3671267,COOP - Continuity of Operations Plan.,1093649,COOP - Continuance of Operation Plan,0.733,0.333,1.0,1.0,applied
3647636,Well 1 generator,1093885,Well 4 Generator,0.725,0.5,0.75,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - Kennedy Memorial Park,1093835,Generator Installation - Victory Fire House,0.7,0.25,1.0,1.0,skipped (already claimed)
3633139,Generator Installation - Victory Fire House,1093834,Generator Installation - Kennedy Memorial Park,0.7,0.25,1.0,1.0,skipped (already claimed)
3643335,Install Check Valves for Critical Infrastructure,1099723,Install Check Valves for Critical Infrastructure,0.7,1.0,0.0,1.0,skipped (already claimed)
3605956000,Emergency Preparedness and Disaster Action Planning,1095231,Emergency Preparedness and Disaster Action Planning,0.696,1.0,0.792,0.196,skipped (already claimed)
3633139,Generator Installation - East End Fire House,1093834,Generator Installation - Kennedy Memorial Park,0.689,0.222,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - Kennedy Memorial Park,1093827,Generator Installation - Weir Street Fire Facility,0.689,0.222,1.0,1.0,skipped (already claimed)
3633139,Generator Installation - Kennedy Memorial Park,1093826,Generator Installation - West End Fire House,0.689,0.222,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - Kennedy Memorial Park,1093836,Generator Installation - East End Fire House,0.689,0.222,1.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - Weir Street Fire Facility,1093834,Generator Installation - Kennedy Memorial Park,0.689,0.222,1.0,1.0,skipped (already claimed)
3633139,Generator Installation - West End Fire House,1093834,Generator Installation - Kennedy Memorial Park,0.689,0.222,1.0,1.0,REFUSED - discriminator conflict
3643335,Northshore Critical Infrastructure Protection Project - FEMA 404 Mitigation Project,1099722,Northshore Critical Infrastructure Project (FEMA 404 Mitigation Project),0.664,0.833,1.0,0.103,applied
3641432,Village Hall renovation,1093914,Village Hall renovation,0.633,1.0,0.226,0.55,applied
3613618,Tree Maintenance Program,1094189,Tree Maintenance Program,0.629,1.0,0.591,0.172,applied
3656011,Swiftreach System Mitigation Outreach Program,1093843,Swiftreach System,0.617,0.667,1.0,0.167,applied
3605956000,Flood Diversion and Control,1095229,Flood Diversion and Control,0.608,1.0,0.0,0.694,applied
3613233,Seawall project,1094202,Seawall Project,0.606,1.0,0.452,0.234,applied
3679444,Pavement Management Project,1093460,Road Work Project,0.6,0.0,1.0,1.0,applied
3682117,Emergency Generator Installations,1093467,Tree Monitoring & Maintenance Program,0.6,0.0,1.0,1.0,skipped (already claimed)
3618597,Road Flood Emergency Response Contingency Plan,1094181,"Road Flooding Emergency
Response Contingency Plan",0.585,0.714,0.579,0.419,applied
3643335,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),1099714,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),0.553,0.364,1.0,0.36,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),1099715,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),0.553,0.364,1.0,0.36,REFUSED - discriminator conflict
3645106,Manorhaven Sewer Force Main Replacement Study - Full Replacement,1093891,Sewer Force Main Replacement Study  -  Phase I,0.553,0.625,0.01,1.0,applied
3645106,Manorhaven Sewer Restoration Project - Phase I-A and Phase I-B,1093887,Manorhaven Sewer  Restoration Project - Phase I-A and Phase I-B,0.531,1.0,0.097,0.34,applied
3643335,Annual Event to promote Disaster Resistant Development,1099728,Annual Event to promote Disaster Resistant Development,0.527,1.0,0.071,0.353,skipped (already claimed)
3605956000,Business Continuity Program,1095233,Business Continuity Program,0.523,1.0,0.032,0.378,applied
3643335,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),1099726,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),0.503,0.167,1.0,0.455,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),1099715,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),0.503,0.167,1.0,0.455,REFUSED - discriminator conflict
3637847,"Bulkhead replacement at ""Little Beach""",1093950,"Bulkhead replacement at ""Little Beach""",0.5,1.0,0.0,0.333,skipped (already claimed)
3628178,George Farber Center Back Up Generator,1094026,George Farber Center Back Up Generator,0.498,1.0,0.042,0.286,skipped (already claimed)
3618597,Emergency SMS Alerting,1094188,Emergency SMS Texting,0.497,0.5,0.324,0.667,below threshold - review only
3643874,Emergency generator power for critical village facilities,1093920,"Emergency generator
power for critical village facilities",0.49,1.0,0.188,0.111,applied
3605956000,Green Infrastructure Pilots,1095228,Green Infrastructure Pilots,0.483,1.0,0.071,0.207,applied
3605956000,Storm Water System Modeling and Analysis,1095235,Storm Water System Modeling and Analysis,0.477,1.0,0.062,0.196,applied
3643335,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),1099726,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),0.476,0.3,1.0,0.185,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),1099727,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),0.476,0.3,1.0,0.185,REFUSED - discriminator conflict
3605956000,Muscle Wall Mitigation System,1095227,Muscle Wall Mitigation System,0.475,1.0,0.0,0.25,skipped (already claimed)
3633139,Generator Installation - Victory Fire House,1093830,Generator Replacement  -Headquarters Fire House,0.471,0.429,0.0,1.0,below threshold - review only
3633139,Generator Installation - Victory Fire House,1093829,Generator Replacement - Southside Fire House,0.471,0.429,0.0,1.0,REFUSED - discriminator conflict
3633139,Generator Replacement -Headquarters Fire House,1093835,Generator Installation - Victory Fire House,0.471,0.429,0.0,1.0,below threshold - review only
3633139,Generator Replacement - Southside Fire House,1093835,Generator Installation - Victory Fire House,0.471,0.429,0.0,1.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),1099724,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),0.47,0.364,1.0,0.083,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),1099725,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),0.47,0.364,1.0,0.083,REFUSED - discriminator conflict
3647636,Well 4 generator,1093886,Well 1 Generator,0.468,0.5,0.75,0.143,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),1099714,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),0.467,0.167,1.0,0.333,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),1099717,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),0.467,0.167,1.0,0.333,REFUSED - discriminator conflict
3605956000,Permanent Generators for Critical Community Facilities,1095226,Permanent Generators for Critical Community Facilities,0.465,1.0,0.1,0.118,applied
3645106,Force Main Replacement - Phase II - A & Phase II - B,1093891,Sewer Force Main Replacement Study  -  Phase I,0.462,0.571,0.714,0.065,below threshold - review only
3605956000,Bayfront Park Bulkhead / Green Infrastructure Enhancements,1095238,Bayfront Park Bulkhead / Green Infrastructure Enhancements,0.461,1.0,0.091,0.111,applied
3633139,Generator Installation - East End Fire House,1093830,Generator Replacement  -Headquarters Fire House,0.45,0.375,0.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - East End Fire House,1093829,Generator Replacement - Southside Fire House,0.45,0.375,0.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - Victory Fire House,1093831,Generator Replacement  - Jerusalem Ave. Fire House,0.45,0.375,0.0,1.0,below threshold - review only
3633139,Generator Installation - West End Fire House,1093830,Generator Replacement  -Headquarters Fire House,0.45,0.375,0.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - West End Fire House,1093829,Generator Replacement - Southside Fire House,0.45,0.375,0.0,1.0,REFUSED - discriminator conflict
3633139,Generator Replacement - Jerusalem Ave. Fire House,1093835,Generator Installation - Victory Fire House,0.45,0.375,0.0,1.0,below threshold - review only
3633139,Generator Replacement -Headquarters Fire House,1093826,Generator Installation - West End Fire House,0.45,0.375,0.0,1.0,REFUSED - discriminator conflict
3633139,Generator Replacement -Headquarters Fire House,1093836,Generator Installation - East End Fire House,0.45,0.375,0.0,1.0,REFUSED - discriminator conflict
3633139,Generator Replacement - Southside Fire House,1093826,Generator Installation - West End Fire House,0.45,0.375,0.0,1.0,REFUSED - discriminator conflict
3633139,Generator Replacement - Southside Fire House,1093836,Generator Installation - East End Fire House,0.45,0.375,0.0,1.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),1099727,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),0.444,0.167,1.0,0.259,REFUSED - discriminator conflict
3643335,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),1099714,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),0.444,0.167,1.0,0.259,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),1099727,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),0.44,0.2,1.0,0.2,REFUSED - discriminator conflict
3643335,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),1099717,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),0.44,0.2,1.0,0.2,REFUSED - discriminator conflict
3633139,Generator Installation - East End Fire House,1093831,Generator Replacement  - Jerusalem Ave. Fire House,0.433,0.333,0.0,1.0,REFUSED - discriminator conflict
3633139,Generator Installation - West End Fire House,1093831,Generator Replacement  - Jerusalem Ave. Fire House,0.433,0.333,0.0,1.0,REFUSED - discriminator conflict
3633139,Generator Replacement - Jerusalem Ave. Fire House,1093826,Generator Installation - West End Fire House,0.433,0.333,0.0,1.0,REFUSED - discriminator conflict
3633139,Generator Replacement - Jerusalem Ave. Fire House,1093836,Generator Installation - East End Fire House,0.433,0.333,0.0,1.0,REFUSED - discriminator conflict
3605956000,Roadway Elevation / Lifeline Road Network,1095236,Roadway Elevation / Lifeline Road Network,0.432,1.0,0.038,0.067,applied
3643874,Emergency generator power for critical village facilities,1093920,"Emergency generator
power for critical village facilities",0.43,1.0,0.0,0.1,skipped (already claimed)
3643335,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),1099726,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),0.429,0.154,1.0,0.226,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),1099714,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),0.429,0.154,1.0,0.226,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),1099715,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),0.423,0.182,1.0,0.167,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),1099717,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),0.423,0.182,1.0,0.167,REFUSED - discriminator conflict
