show_id,name,dj_id,department,icon,description,legacy_schedule_ids
56,The Shaw Report Live!,555,,,"Everything you want to know about movies and TV with celebrity dish, capital district events, and a production report every Monday from 5:00-5:30PM",221
57,JRads Mixologically Incorrect Show,557,Rock,Pick,,222
58,Dude Fest,558,Rock,Pick,"An interwoven bread basket of hardcore, punk rock, indie rock, hip-hop and other shenanigans.",223
59,Nobel Prize Show,559,Hip-Hop/R&B,Microphone,This is StarHouse Entertianment radio good music and we play many local artist from the albany area.,224
60,Down with the sun,561,Metal,Bolt,doom/drone/Instrumental/death metal/punk,225
61,Alternative Rock Music,564,Rock,Pick,,228
62,Afternoon Delight,566,,,,230
63,The 518 Showcase,570,Rock,Pick,"The best local music that the area has to offer, including live sets, interviews and local news. Encompasses all genres. Submissions always welcome!",236
64,Graffitti Rock,577,Hip-Hop/R&B,Microphone,,244
65,The Segue,585,Electronic,Sliders,Relax and listen to me play some good music. You need this.,255
66,Sound Track to a Headrush,534,Rock,Pick,,256
67,Scrumptious Music,588,Rock,Pick,Listen to Andy and Noah make fun of each other while playing good songs.,258
68,Natural Vibz music hours,593,World,Globe,"The best in roots rock and culture music, foundation reggae muzik.",263
69,Wandering Ears,594,Rock,Pick,Jazz and World music to take you through the night.,266
70,¡Insomniac Rock!,595,Metal,Bolt,All things that ROCK! ...and the best in extreme music...,267
71,Malt Liquor and Veggie Burgers,588,Electronic,Sliders,An eclectic mix of everything that sounds good.,275
72,Perfect Touch Radio,573,Hip-Hop/R&B,Microphone,"From slow jams to club bangers, I'm taking you there and back in my world. Rock with me!",277
73,The Villainz' Supahero!!!!,497,Hip-Hop/R&B,Microphone,Every Villain needs a Supahero!!!,278
74,CraveRadio.com,390,Electronic,Sliders,"Club/Dance/House/Electro music. Artist you will hear: Tiesto, David Guetta, Kaskade, Spencer & Hill, Deadmau5, Klaas, Eric Prydz, and much more!!!",285
75,The Five O'Clock Shadow,549,News,Newspaper,,290
76,Burnin' the Midnight Oil with the Night Owl,605,Specialty,Star,playing the hottest hits ..motown and friends ...with the main man ..THE NIGHT OWL .,291
77,The Point of No Return,607,Metal,Bolt,LET'S RAGE!,295
78,Earth Died Screaming,608,Rock,Pick,"Don't you know there ain't no devil, that's just God when he's drunk.",296
79,JACKED: Liftin' Weights with ANTONY THE TANK!!,609,Rock,Pick,"Throw some metal objects around to a warm & fuzzy electric mayhem wall-of-sound explosion created by some bands you've never heard of. Bro-Core, Blue-Core, Burgle-Beatz & Garage Bands Galore!!",297
80,A case of the mondays,613,Rock,Pick,good tunes,300
81,In Tune with Nothing,614,Rock,Pick,"Hardcore, punk... If the songs I play are more than two minutes long then there's something wrong.",301
82,Wampum Bounce,627,Hip-Hop/R&B,Microphone,"Club bangers for parties in ur bedroom,car, or at the club.global indigenous jammys",302
83,Alternative Rock Music,619,Rock,Pick,Loves Pearl Jam and Maddox. His show may or may not reflect this.,304
84,(B-Sides) The Point,624,Rock,Pick,Be Side Tracked.,305
85,the D/L,625,Rock,Pick,Never overplayed Always underground. For todays real alternative rock music keep it on the D/L.,306
86,If you got an issue here's a tissue,628,Rock,Pick,Playing what you like or whatever makes me happy what ever happens first,307
87,Believe the Hype,589,Rock,Pick,"I got my uzi back, you dudes is whack, face it the (Lawdog)'s back!",308
88,WHAT'S REALLY GOOD with Dan A-Go-Go,630,Rock,Pick,"Keepin' it real with nothing but the finest tunes ever to surf upon your earwax. Plenty of brand new alternative rock mixed with old-school love from all over the place. You might dance, you might punch faces, you might be very confused.",311
89,Pillow Talk,618,Rock,Pick,"Sweet, but dirty when it should be.",315
90,Morning Beat Attack,632,Electronic,Sliders,"A new mix, eclectic style! A mix-up of anything and everything electronic from artists big and small.",316
91,"Bad Scene, Everyone's Fault",623,Rock,Pick,"The best in uncensored punk, hardcore, hip hop, indie and so much more. Word.",318
92,The Zero Hour,637,Metal,Bolt,"Heavy, Black, Death, Doom, Melodic, Progressive, and any other type of metal you can think of.",320
93,The Abyss,636,Metal,Bolt,"~When it's cold, and when it's dark...the freezing moon can obsess you~",321
94,The Zero Hour,638,Metal,Bolt,,322
95,Alternative Rock Music,524,Rock,Pick,,328
96,Alternative Rock Music,643,Rock,Pick,,329
97,Midnight Mayhem,640,Metal,Bolt,"The best of death metal, black metal, doom metal, prog metal, and whatever else I feel like playing.",330
98,Maximum Carnage!,645,Metal,Bolt,From Kvlt to Classic,331
99,Urban Music Music,647,Hip-Hop/R&B,Microphone,,332
100,The Lexicon,642,Electronic,Sliders,"2+ hours of live, mixed drum & bass exclusively on vinyl. From atmospheric euphoria to tech-step post-apocalyptic bangers, to deep jazz & soul, even a little(very little) wobble for good measure. Occasional Dubstep tunes. Kick up the bass and enjoy the ride.",333
101,The Secret Believer's Walkie-Talkie-Thon,649,Rock,Pick,"ge came frum ouder spase, throo the wall, but was it a alien??",334
102,the lost transmissions,650,Electronic,Sliders,shit dj,337
103,Sports Spotlight,652,Sports,Trophy,Sports Spotlight,338
104,GET OFF MY LAWN,653,Rock,Pick,,339
105,Spanish Rock Music,656,Specialty,Star,,340
106,Beat Street Jazz,654,Jazz,Note,"""...so beat""",341
107,Alternative Rock Music,655,Rock,Pick,,342
108,Get Behind the Mule,608,Rock,Pick,alternative radio / rock pop electronic,345
109,The U and Your Music Show,660,Hip-Hop/R&B,Microphone,"A friend of mine said to me once, ""oh you and your music!"" - as if that were a bad thing. I believe your music is yours. The music we listen to affects us and is important to each and every one of us in our own way. No one can take that away. Music can make you happy, sad, or excited enough to get your workout done. Music can also jog up an old memory of a time when something was going on in your life. The show here will attempt to reach listeners through requests and perhaps we will hear some interesting stories about music's affects on people's lives. 8^)",346
110,Motown & Friends,605,Specialty,Star,,347
111,Jiggy Wednesdays,501,Hip-Hop/R&B,Microphone,,348
112,The Dudes,554,Rock,Pick,http://www.wcdbfm.com/dudes,349
113,"Ryan Farrell and the Terrible, Horrible, No Good, Very Bad Show",661,Specialty,Star,There is no media bias,350
114,Alternative Rock Music,634,Rock,Pick,,351
115,Alternative Rock Music,625,Rock,Pick,,352
116,SKANKIN' AND TANKIN',667,Rock,Pick,"SKA! First Gen., Two-Tone, Third Wave, (sneakpeak of)4th Wave!",353
117,SPACE JAMZ,668,Rock,Pick,It's like Carl Sagan slam dunking your eardrums for 2 straight hours,354
118,The Fox's Den,669,Rock,Pick,No animals were harmed in the making of this show.,355
119,WOOOOOOO,670,Rock,Pick,I scream,356
120,R P M,671,Electronic,Sliders,R P M,357
121,Alternative Rock Music,672,Rock,Pick,,358
122,,674,Rock,Pick,,359 456
123,Waking up with HEAT,675,Rock,Pick,,360
124,Am I On Fire?,676,Specialty,Star,A euphoria you'll want to insufflate.,361
125,friday afternoon crap-o-rama,681,Rock,Pick,makin' ya ears bleed,362
126,Brendan,682,News,Newspaper,,363
127,WCDB Morning News,682,News,Newspaper,"Live coverage of the news that matters to you! Monday through Friday, 7-9am! Get into it!",364 365 366 367
128,Jam like Jelly,683,Rock,Pick,DJ'Addeo....bringing the freshest flavor to WCDB.,368
129,,684,World,Globe,,369
130,Friday Nite Live,685,Hip-Hop/R&B,Microphone,"Raw Exclusive Hip Hop. Cory Gunz to Little Brother. We cover it all. Brand New Music all the time. Hosted by Black Friday and DJ Mainevent. Oh Yeah, we don't bite our tongue. We let you know what it is and how it should be done.",370
131,Alternative Rock Music,686,Rock,Pick,,371
132,News Music,687,Specialty,Star,,372
133,The Pajama Party (formerly known as The Twilight Zone Alternative Rock Block),689,Rock,Pick,"Bringin' energy to the early A.M. on FM! Mostly alternative rock, with a dash of R.P.M... and whatever else the occasion may call for.",373
134,The Hip-Hocalypse,624,Hip-Hop/R&B,Microphone,Uncensored/Unadulterated/Underground Hip-hop/R&B/Gangster Rap/Hipster-Hop/etc....,374
135,Alternative to Sleeping with Ethan Ullman,690,Specialty,Star,"This is a show of nothing but uncensored stand-up comedy, comedian interviews, and everything else that falls under comedy! Check out alt2sleep.com for past interviews!",375
136,"Bad Scene, Everyone's Fault",693,Rock,Pick,,376
137,Urban Music,694,Hip-Hop/R&B,Microphone,,377
138,R.P.M. (Electronic Music) Music,696,Electronic,Sliders,,378
139,Fantastic Planet,684,Rock,Pick,Exploring the roots of Alternative music all the way up through today.,379
140,Hysteria For Your Stereo,698,Rock,Pick,,380
141,Hip-Hop Music,700,Hip-Hop/R&B,Microphone,,381
142,Hip-Hop/R&B Music,701,Hip-Hop/R&B,Microphone,,382
143,Diamonds & Bass,702,Electronic,Sliders,Luxurious crystals of the dankest bass nuggets.,383
144,Diamonds & Bass,703,Electronic,Sliders,,384
145,Alternative Rock Music,699,Rock,Pick,,385
146,Mosh in the Morning,689,Metal,Bolt,,386
147,My Tunes is I-Chunez,704,World,Globe,Playing the Finest Tunez!!,387
148,El Rodeo,705,Metal,Bolt,Its like getting punched in the head but more enjoyable and less painful,388
149,Elucidations,706,Electronic,Sliders,Elucidelicious,389
150,Sibelius and Friends,676,Specialty,Star,"WMHT doesn't give you classical music jocks with thick Jersey accents butchering names. If they do, let me know so I can send them my resume with this show as my only credential.",390
151,THE WRECKING YARD,654,Rock,Pick,,393
152,,370,Specialty,Star,,394
153,Coconut Trees Palm Trees,554,Hip-Hop/R&B,Microphone,,396
154,Hip-Hop/R&B Music,707,Hip-Hop/R&B,Microphone,,397
155,Happy Hour Friday,708,Hip-Hop/R&B,Microphone,"Serving up a double shot of happy hour every friday from 6pm-8pm, tune in to hear the best and your requests. Talking bout topics you want to hear and keeping you informed on whats going on the world of music and entertainment.",398
156,Early Warming on a Sunday Morning,708,World,Globe,I play the reggae oldies but goodies,399
157,The Free Freeform Show,692,Specialty,Star,,400
158,"""La Mega"" 90.9 FM",370,Specialty,Star,,401 427
159,,704,World,Globe,,402
160,,695,World,Globe,,403
161,New Era Radio..,713,Hip-Hop/R&B,Microphone,If your tired of hearing the same old stuff on da radio then this is the show for u! Every week different show and not the same music.. HOT NEW TRACKS!!!,404
162,,712,Hip-Hop/R&B,Microphone,,405
163,The 10AM Dance Party @ 9,689,Rock,Pick,"RPM beats in the early AM! Layin the dance music on heavy, with a dash of electronic and some alternative rock on the side.",406
164,,698,Rock,Pick,,407
165,HATE PARTY,711,Metal,Bolt,Hardcore/Metal/Sludge/Thrash/Power Violence/Punk/Grind ...its pretty serious,408
166,,552,Rock,Pick,,409
167,Funk It Jazz Show,714,Jazz,Note,"""Ill play it first and tell you what it is later.""",410
168,Dead Wrong,715,Hip-Hop/R&B,Microphone,hit you with some Ill flows that don't even make sense,412
169,Sports Spotlight,716,Sports,Trophy,,413
170,WCDB Weekend Sports Spotlight,719,Sports,Trophy,,416 417 418
171,Rockin' in the AM on the FM,718,Rock,Pick,The name is pretty self-explanatory!,419
172,HATE PARTY,720,Metal,Bolt,punk/hardcore,420
173,Afternoon Delight,721,Rock,Pick,Skyrockets in Flight... weeeeeeeeeeeeeeewwwwwwwwwwwwww,421
174,Saturday Night jam,722,Rock,Pick,"Rocking out to some of the best Alt/Indie/RPM/Local stuff, with some live performances by local bands.",422
175,B&S,723,Rock,Pick,A-MAC and I love the 90's. A lot. Too much? Maybe. They were the best of times.,423
176,K-Billy's Super Sounds of Satanic Music,724,Metal,Bolt,,424
177,Show Name,645,Specialty,Star,,425
178,Show Name,660,Specialty,Star,,426 465
179,the Zoo,624,Rock,Pick,Various Animals and like-mannered alternative entertainment,428
180,,608,Rock,Pick,,429
181,Hipsters' Paradise,725,Rock,Pick,"From Brooklyn to Los Angeles, Sweden to Canada, BUFFALO to Omaha...Welcome to Hipsters' Paradise",430
182,,397,Rock,Pick,,431
183,B3nson Radio,508,Rock,Pick,Local-Centric Indie Music.,432
184,,727,Hip-Hop/R&B,Microphone,,433
185,Show Name,625,Specialty,Star,,434
186,The Capital Coup - A Regional Rap Revolution,727,Hip-Hop/R&B,Microphone,Hosted by Lo-Fi Lobo,435
187,Vhangra Ghan,728,Rock,Pick,,436
188,Deep Children Radio,730,Electronic,Sliders,we play music that computers make and sometimes we don't,437
189,Deep Children radio,729,Electronic,Sliders,"original beats, hip hop, dubstep, club, uk funky, bassline, glitchy, dirty south, classic techno, acid house, electro, afrobeat, ???.",438
190,Iffy Sitch.,517,Rock,Pick,"Sweet rock, folk, electronic, ambient, and experimental tunes, and you're going to love each and every one of them.",439
191,Hipster Trash,623,Rock,Pick,,440
192,Sports Physical,717,Sports,Trophy,Step in the office for another appointment as the DR diagnoses the condition of UAlbany and professional sports and decides if further treatment is necessary,441
193,Sawdust and Diamonds,731,Electronic,Sliders,,442
194,Center of the Universe,732,Rock,Pick,sift through the static to find a simpler sound,443
195,wild gravity,733,Rock,Pick,pop songs your new boyfriend's too stupid to know about,444
196,Is Anybody Listening? The Late Night Rock Block,734,Rock,Pick,,445
197,Tony Hawk's Pro Tuesdays,735,Rock,Pick,,446
198,,729,Electronic,Sliders,,447 448 449
199,Show Name,624,Specialty,Star,,450
200,Show Name,730,Electronic,Sliders,,451 452
201,Under Speculation,689,Rock,Pick,,453
202,The Zwana Report,736,News,Newspaper,"Learn More. Do More. Be More. Not only can you tune in for an array of indepedent voices, you can submit your info for publication with us.",454
203,I've got a microchip in my brain,676,Electronic,Sliders,"Attention, I need to see the president.",455
204,Verbal Intercourse Radio,737,Hip-Hop/R&B,Microphone,,457
205,WCDB News Magazine,692,News,Newspaper,,458
206,Show Name,740,Electronic,Sliders,,459
207,The Feel good revolution,741,Rock,Pick,,460
208,Sound ExChange,742,Electronic,Sliders,,461
209,In The Morning And Amazing,743,Rock,Pick,,462
210,Island Soundz,708,World,Globe,,463
211,Wake Up With the Night Owl,605,Specialty,Star,,464
212,Degenerate Radio!,745,Hip-Hop/R&B,Microphone,"Best in Hip-Hop, R&B, Reggae, Soca Old School...and whatever you want.",466
213,Key 2Da City Radio,746,Hip-Hop/R&B,Microphone,,467
214,The Pumpkin Patch,747,Rock,Pick,Pumpkins all over the place,468
215,The Cat's Meow,748,Rock,Pick,,469
216,Notorious D.O.V.,749,Rock,Pick,,470
217,Show Name,750,Hip-Hop/R&B,Microphone,,471 473
218,Mattress Music,750,Hip-Hop/R&B,Microphone,,472
219,Morgan Freeman's Voice,744,Rock,Pick,smooth and satisfying music that soothes the soul and brings joy to the little boys and girls around the world,474
220,Show Name,514,Hip-Hop/R&B,Microphone,,475
221,Crisco Inferno,751,Electronic,Sliders,Awesome electronic music from all over the spectrum.,476
222,Bat Terrible!,753,Rock,Pick,,477
223,THE MORE YOU LISTEN THE WORSE IT GETS,754,Rock,Pick,"Celebrating over 50,000 years of human music!",478
224,The Motion of the Ocean,756,Rock,Pick,,479
225,Show Name,684,Sports,Trophy,,480
226,Hip Hop Lifestyle,758,Hip-Hop/R&B,Microphone,"Livin the life. ""It's the life we live, it's the price we pay, 400 a zip, imperial rose, Black diamonds and all of my whips timeless"" - Wiz Khalifa",481
227,Lost in Translation,755,World,Globe,"""For relaxing times, make it Suntory time.""",482
228,Sports Madness Hour,759,Sports,Trophy,"Fun sports talk with Adam Lowenthal, and Dan Shule",483
229,,760,Electronic,Sliders,,484
230,Full Court Press,761,Sports,Trophy,"Hold on tight, as Jay Sanin brings you 2 hours of relentless coverage on everything in the world of sports!",485 545 546 547 548 549
231,,762,Hip-Hop/R&B,Microphone,,486
232,Show Name,763,Rock,Pick,,487
233,Radio on the Radio,764,Rock,Pick,My name is Eric and I am on the radio.,488
234,Show Name,756,Specialty,Star,,489
235,Show Name,765,Specialty,Star,,490
236,The Social Workers,766,Specialty,Star,"The Social Workers is the first live radio talk show hosted by a professional MSW broadcaster Kathryn Zox, Your Social Worker with a Microphone® and UAlbany School of Social Welfare MSW students Candi Jenkins and Elliot Luscombe. Recent show topics include aging and sex, marriage equality, cyber bullying, organ donation and more. Listen live, Thurs 9-10am est, wcdbfm.com. Questions and comments welcome.",491
237,Radio Void,650,Electronic,Sliders,,492
238,I just want my kids back,767,Rock,Pick,,493
239,Show Name,768,Specialty,Star,,494
240,The Futopian Effect,769,Hip-Hop/R&B,Microphone,,495
241,Show Name,772,Rock,Pick,,496
242,WCDB Training Show!,751,Electronic,Sliders,WCDB's Training Show! Come learn how to be a DJ and keep sucker mc's off your back.,497
243,ALTbany,773,Rock,Pick,roommate radio,498
244,Become What You Are,732,Rock,Pick,sift through the static to find a simpler sound,499
245,Keep Albany Boring,777,Specialty,Star,,500
246,Keep Albany Boring radio,778,News,Newspaper,,501
247,I Woke Up in a Car,779,Rock,Pick,,502
248,WOLFPACK RADIO,746,Hip-Hop/R&B,Microphone,,503
249,,781,Rock,Pick,,504
250,Psychic Chasms in a Bottle,780,Rock,Pick,I play music to the masses in an imaginary bottle.,505
251,Novel Harmonies,782,Specialty,Star,"notes, meters, melodies, tonalities, atonalities, timbres, and harmonies.",506
252,CPJ Radio,785,Electronic,Sliders,"If it makes you dance, I'll play it.",507
253,Show Name,786,Electronic,Sliders,,508
254,Electronic Nightlife,787,Electronic,Sliders,DJ N-Stance & DJ Dave P bringing the capital district the hottest house and electronic dance music!,509
255,Electronic Nightlife,788,Electronic,Sliders,"Dropping the HOTTEST DANCE MUSIC in the Capital District every Saturday Night, 8-10p!",510
256,,784,Rock,Pick,,511
257,,776,Hip-Hop/R&B,Microphone,,512
258,Indie-scribable Music,790,Rock,Pick,A quick show on Thursday afternoons from noon until 1pm where I play my favorites and some newly released alt-rock,513
259,RadioWAVEY,789,Rock,Pick,,514
260,Funky Corners,791,Hip-Hop/R&B,Microphone,Return of the B-Boy Style.,515
261,Renegade Radio Music Show,792,Hip-Hop/R&B,Microphone,"Hip/Hop Classic Cuts, along with the latest on the rise. Social Commentary and Hilarious Segments.",516
262,Renegade Radio Music Show,793,Hip-Hop/R&B,Microphone,"Hip/Hop Classic Cuts, along with the latest on the rise. Social Commentary and Hilarious Segments.",517
263,Revolution Radio,775,Hip-Hop/R&B,Microphone,,518
264,The Joe Romano Show,794,Electronic,Sliders,Smooth sensual electronic music spilling over into spiraling mosaics of ecstasy...,519
265,Street Light Radio,797,Hip-Hop/R&B,Microphone,Bringing underground music from your local and favorite artist.,520
266,"The Good, The Bad & The Underground",796,Rock,Pick,"Fresh and Retro music. If it's good, ill play it.",521 552
267,Around the World,800,World,Globe,,522
268,You don't have to go to College,744,Specialty,Star,We talk about stuff. Stuff you're interested in.,523
269,,773,Rock,Pick,,524 613 705 759
270,You Don't Have to go to College,741,Specialty,Star,Talkin 'bout all the hot issues of the week. get involved,525
271,Show Name,795,News,Newspaper,,526
272,Show Name,770,Sports,Trophy,,527
273,Show Name,801,Sports,Trophy,,528
274,The Cosmic Slop,802,Hip-Hop/R&B,Microphone,"In the mid 1960's, Soul and Rock and Roll decided to get freaky and had a love child known to the public solely as ""Funk""...what followed was a general musical inclination to this new style of danceable music. Funk's influence extended to Disco in the 70s, which in turn was a predecessor to modern day House. In the 80s, Funk branched off into Electro funk, which then evolved into modern day Techno. DJs in the Bronx, NY began looping the breaks in Funk songs and improvised over the loop in spoken word, laying the groundwork for what was jokingly referred to as ""Hip Hop."" In this show, listeners will explore the origins, influence and legacy of one of music's most historically significant genres...",529
275,Above The RIm,803,Sports,Trophy,,530
276,Keep Albany Boring,807,Electronic,Sliders,,531
277,Show Name,805,Specialty,Star,,532
278,The Stew,799,Rock,Pick,,533
279,The Lowdown,795,News,Newspaper,,534
280,The Morningroove,806,Rock,Pick,That sweet funky stuff... and other sweet stuff,535
281,Automatic Stop,798,Rock,Pick,,536
282,Soul In Silico,804,Electronic,Sliders,The best in modern IDM and EDM from around the world.,537
283,,808,Sports,Trophy,"I am here to bring you, the fans, all the hard hitting football action you desire. Whether its NCAA or NFL,satisfaction always guaranteed!",538
284,,650,Specialty,Star,,539
285,Show Name,812,Specialty,Star,,540
286,The UndrGrnd Groove,810,Hip-Hop/R&B,Microphone,UndrGrnd Hip-Hop at its finest.,541
287,Weekend Sports Rundown,809,Sports,Trophy,Discussing news from all over the world of sports.,542
288,Show Name,808,Sports,Trophy,,543
289,The Hip Hop Show with DJ Nate,813,Hip-Hop/R&B,Microphone,,544
290,"Int. ""International"" Vybz",814,World,Globe,Bringing international/world music to the capital region and to the rest of the world following us online.,550
291,Show Name,771,Sports,Trophy,,551
292,The Hi Life,816,Electronic,Sliders,,553 571
293,Show Name,819,Hip-Hop/R&B,Microphone,,554
294,Show Name,820,Hip-Hop/R&B,Microphone,,555
295,If Looks Could Kill,822,Rock,Pick,,556
296,,823,Specialty,Star,,557
297,Show Name,825,Electronic,Sliders,,558
298,Bring Roses to a Gunfight,826,Hip-Hop/R&B,Microphone,,559
299,The Morning SuperNova,827,Rock,Pick,The best hangover cure on the market.,560
300,Show Name,828,Metal,Bolt,,561
301,Electro-Wonderland,829,Electronic,Sliders,A Great Variety of Electronic and Dance music on THE BEST STATION EVERRRR!!!,562
302,Show Name,830,Rock,Pick,,563
303,Switching Gears,831,Metal,Bolt,,564
304,Lost in the Woods Radio 2: Lost Harder,832,Rock,Pick,A random collection of indie and folk rock tunes that are sure to keep your toes tapping.,565
305,Condensed Matter Order of Magnitude More Power Show,833,Rock,Pick,,566
306,,834,Rock,Pick,BUNNY KIDNAPPED HERSELF,567
307,Weekend Dose of PMS,837,Sports,Trophy,,568
308,,835,Rock,Pick,,569
309,Grime Time Live,836,Specialty,Star,niezabawny ¯\_(^^)_/¯,570
310,WHITE TRASH PARTY,835,Rock,Pick,,572
311,Past Life Radio: The Golden Era / The Next Level,839,Hip-Hop/R&B,Microphone,Pure Hip Hop and R & B...,573
312,,841,Rock,Pick,,574
313,The House of Fun,782,Specialty,Star,"interested in becoming a DJ? well, get hands on training during this show. the world is your oyster.",575
314,The Weekly Current,842,News,Newspaper,"Two hours of non-commercial news, analysis, and opinion. The Capital Region's alternative source of news and discussion on the Capital Region's best alternative radio station.",576
315,Jazz South of the Border,843,Jazz,Note,,577
316,#emorevival,844,Rock,Pick,,578
